,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,90.000000,6.087243,-0.000568,-0.000000,17.304839,0.000891,-0.610443,0.000000
1,1.999810,90.000001,6.086354,-0.000322,0.000019,17.291439,-0.000935,-0.682811,0.021951
2,3.999620,90.000001,6.086012,-0.000015,-0.000001,17.276448,-0.000101,-0.754038,0.043907
3,5.999429,90.000001,6.086332,0.000346,-0.000003,17.259889,0.000155,-0.824231,0.065867
4,7.999239,90.000001,6.087411,0.000753,0.000000,17.241787,-0.000005,-0.893500,0.087830
5,9.999049,90.000001,6.089334,0.001197,-0.000000,17.222161,0.000002,-0.961951,0.109795
6,11.998859,90.000001,6.092163,0.001669,0.000000,17.201029,0.000003,-1.029692,0.131763
7,13.998668,90.000001,6.095943,0.002157,0.000000,17.178407,-0.000004,-1.096832,0.153732
8,15.998478,90.000001,6.100696,0.002651,-0.000000,17.154310,-0.000003,-1.163481,0.175702
9,17.998288,90.000001,6.106421,0.003137,-0.000000,17.128749,0.000002,-1.229752,0.197671
10,19.998098,90.000001,6.113089,0.003603,-0.000000,17.101734,0.000001,-1.295749,0.219639
11,21.997908,90.000001,6.120642,0.004032,-0.000000,17.073271,0.000007,-1.361569,0.241606
12,23.997717,90.000001,6.129000,0.004416,0.000000,17.043367,-0.000002,-1.427310,0.263569
13,25.997527,90.000001,6.138060,0.004743,0.000000,17.012024,-0.000007,-1.493058,0.285528
14,27.997337,90.000001,6.147704,0.005008,-0.000000,16.979243,0.000001,-1.558900,0.307484
15,29.997147,90.000001,6.157808,0.005210,-0.000000,16.945023,0.000001,-1.624928,0.329435
16,31.996957,90.000001,6.168244,0.005347,-0.000000,16.909361,-0.000001,-1.691225,0.351382
17,33.996766,90.000001,6.178887,0.005422,-0.000000,16.872250,-0.000000,-1.757884,0.373325
18,35.996576,90.000001,6.189621,0.005440,-0.000000,16.833683,0.000003,-1.825009,0.395265
19,37.996386,90.000001,6.200332,0.005402,0.000000,16.793650,-0.000001,-1.892701,0.417200
20,39.996196,90.000001,6.210914,0.005311,0.000000,16.752139,-0.000000,-1.961052,0.439133
21,41.996005,90.000001,6.221264,0.005169,0.000000,16.709135,-0.000001,-2.030158,0.461062
22,43.995815,90.000001,6.231285,0.004979,-0.000000,16.664622,0.000000,-2.100109,0.482988
23,45.995625,90.000001,6.240884,0.004744,-0.000000,16.618581,0.000000,-2.170981,0.504911
24,47.995435,90.000001,6.249979,0.004471,0.000000,16.570991,0.000000,-2.242866,0.526832
25,49.995245,90.000001,6.258505,0.004168,0.000000,16.521829,-0.000000,-2.315857,0.548751
26,51.995054,90.000001,6.266406,0.003839,-0.000000,16.471070,-0.000000,-2.390040,0.570669
27,53.994864,90.000001,6.273641,0.003494,-0.000000,16.418687,0.000000,-2.465514,0.592586
28,55.994674,90.000001,6.280185,0.003140,0.000000,16.364650,0.000000,-2.541994,0.614503
29,57.994484,90.000001,6.286024,0.002780,0.000000,16.308937,-0.000000,-2.618020,0.636421
30,59.994294,90.000001,6.291149,0.002417,0.000000,16.251555,-0.000000,-2.693302,0.658338
31,61.994103,90.000001,6.295557,0.002053,-0.000000,16.192522,0.000000,-2.767934,0.680257
32,63.993913,90.000001,6.299248,0.001689,-0.000000,16.131851,0.000000,-2.842009,0.702176
33,65.993723,90.000001,6.302224,0.001328,0.000000,16.069553,0.000000,-2.915602,0.724096
34,67.993533,90.000001,6.304493,0.000973,0.000000,16.005639,0.000000,-2.988796,0.746018
35,69.993342,90.000001,6.306071,0.000628,0.000000,15.940114,0.000000,-3.061681,0.767941
36,71.993152,90.000001,6.306983,0.000299,0.000000,15.872985,-0.000001,-3.134350,0.789867
37,73.992962,90.000001,6.307263,-0.000011,-0.000000,15.804255,-0.000001,-3.206904,0.811795
38,75.992772,90.000001,6.306956,-0.000297,-0.000000,15.733926,-0.000001,-3.279433,0.833726
39,77.992582,90.000001,6.306109,-0.000556,-0.000000,15.661995,0.000001,-3.352039,0.855660
40,79.992391,90.000001,6.304781,-0.000785,-0.000000,15.588460,0.000006,-3.424857,0.877597
41,81.992201,90.000001,6.303029,-0.000985,0.000000,15.513317,-0.000003,-3.498022,0.899537
42,83.992011,90.000001,6.300905,-0.001163,0.000000,15.436558,-0.000001,-3.571652,0.921481
43,85.991821,90.000001,6.298446,-0.001325,0.000000,15.358175,-0.000001,-3.645862,0.943427
44,87.991631,90.000001,6.295675,-0.001481,-0.000000,15.278156,-0.000002,-3.720772,0.965375
45,89.991440,90.000001,6.292591,-0.001643,-0.000000,15.196489,0.000003,-3.796499,0.987324
46,91.991250,90.000001,6.289172,-0.001823,0.000000,15.113159,0.000000,-3.873138,1.009273
47,93.991060,90.000001,6.285366,-0.002037,0.000000,15.028150,0.000000,-3.950771,1.031221
48,95.990870,90.000001,6.281097,-0.002295,0.000000,14.941442,-0.000000,-4.029464,1.053168
49,97.990679,90.000001,6.276264,-0.002609,0.000000,14.853016,-0.000001,-4.109246,1.075113
50,99.990489,90.000001,6.270750,-0.002985,-0.000000,14.762849,0.000000,-4.190137,1.097055
51,101.990299,90.000001,6.264435,-0.003422,-0.000000,14.670918,0.000001,-4.272169,1.118995
52,103.990109,90.000001,6.257200,-0.003917,0.000000,14.577196,0.000001,-4.354158,1.140933
53,105.989919,90.000001,6.248936,-0.004463,0.000000,14.481682,-0.000001,-4.431274,1.162870
54,107.989728,90.000001,6.239550,-0.005053,0.000000,14.384480,-0.000000,-4.502385,1.184805
55,109.989538,90.000001,6.228962,-0.005680,0.000000,14.285720,-0.000001,-4.567573,1.206740
56,111.989348,90.000001,6.217105,-0.006337,-0.000000,14.185530,0.000000,-4.626946,1.228675
57,113.989158,90.000001,6.203926,-0.007019,-0.000000,14.084034,0.000001,-4.680630,1.250611
58,115.988968,90.000001,6.189375,-0.007725,0.000000,13.981357,-0.000000,-4.728751,1.272547
59,117.988777,90.000001,6.173405,-0.008457,0.000000,13.877621,-0.000000,-4.771434,1.294485
60,119.988587,90.000001,6.155962,-0.009217,0.000000,13.772945,-0.000001,-4.808760,1.316423
61,121.988397,90.000001,6.136985,-0.010012,-0.000000,13.667448,0.000000,-4.840809,1.338361
62,123.988207,90.000001,6.116403,-0.010843,0.000000,13.561247,0.000000,-4.867661,1.360300
63,125.988016,90.000001,6.094137,-0.011717,0.000000,13.454456,-0.000000,-4.889364,1.382239
64,127.987826,90.000001,6.070103,-0.012635,0.000000,13.347189,0.000000,-4.905965,1.404178
65,129.987636,90.000001,6.044213,-0.013597,0.000000,13.239556,0.000000,-4.917527,1.426117
66,131.987446,90.000001,6.016379,-0.014603,0.000000,13.131667,-0.000000,-4.924066,1.448056
67,133.987256,90.000001,5.986521,-0.015646,0.000000,13.023631,-0.000000,-4.925616,1.469997
68,135.987065,90.000001,5.954569,-0.016720,-0.000000,12.915554,0.000000,-4.922256,1.491939
69,137.986875,90.000001,5.920470,-0.017815,-0.000000,12.807539,0.000000,-4.914078,1.513883
