,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,90.000001,0.043927,-0.000157,-0.000000,17.365386,0.000795,-0.635199,0.000000
1,1.998771,90.000001,0.043584,-0.000185,0.000018,17.351280,-0.000891,-0.709086,0.022206
2,3.997541,90.000001,0.043196,-0.000202,-0.000002,17.335534,-0.000016,-0.781639,0.044413
3,5.996312,90.000001,0.042782,-0.000211,-0.000003,17.318177,0.000138,-0.852964,0.066619
4,7.995082,90.000001,0.042356,-0.000215,0.000001,17.299235,-0.000035,-0.923164,0.088826
5,9.993853,90.000001,0.041928,-0.000213,-0.000000,17.278735,0.000009,-0.992344,0.111033
6,11.992623,90.000001,0.041506,-0.000209,-0.000000,17.256698,0.000006,-1.060606,0.133239
7,13.991394,90.000001,0.041093,-0.000204,0.000000,17.233146,-0.000002,-1.128056,0.155446
8,15.990164,90.000001,0.040689,-0.000201,0.000000,17.208096,-0.000000,-1.194799,0.177652
9,17.988935,90.000001,0.040290,-0.000199,0.000000,17.181563,0.000001,-1.260935,0.199859
10,19.987706,90.000001,0.039890,-0.000201,0.000000,17.153562,0.000000,-1.326569,0.222066
11,21.986476,90.000001,0.039485,-0.000205,0.000000,17.124103,-0.000002,-1.391803,0.244272
12,23.985247,90.000001,0.039067,-0.000213,0.000000,17.093196,-0.000001,-1.456742,0.266479
13,25.984017,90.000001,0.038630,-0.000225,-0.000000,17.060846,0.000004,-1.521487,0.288686
14,27.982788,90.000001,0.038165,-0.000240,0.000000,17.027059,-0.000009,-1.586139,0.310893
15,29.981558,90.000001,0.037668,-0.000258,-0.000000,16.991836,0.000009,-1.650802,0.333099
16,31.980329,90.000001,0.037135,-0.000276,0.000000,16.955177,-0.000006,-1.715579,0.355306
17,33.979099,90.000001,0.036566,-0.000294,-0.000000,16.917079,0.000011,-1.780572,0.377513
18,35.977870,90.000001,0.035959,-0.000313,0.000000,16.877538,-0.000013,-1.845883,0.399720
19,37.976641,90.000001,0.035318,-0.000329,-0.000000,16.836547,0.000007,-1.911613,0.421927
20,39.975411,90.000001,0.034647,-0.000342,0.000000,16.794096,-0.000001,-1.977863,0.444134
21,41.974182,90.000001,0.033953,-0.000352,0.000000,16.750174,-0.000000,-2.044735,0.466341
22,43.972952,90.000001,0.033243,-0.000358,0.000000,16.704766,0.000000,-2.112329,0.488548
23,45.971723,90.000001,0.032524,-0.000360,0.000000,16.657857,-0.000001,-2.180746,0.510755
24,47.970493,90.000001,0.031804,-0.000360,-0.000000,16.609429,0.000000,-2.250086,0.532962
25,49.969264,90.000001,0.031089,-0.000355,-0.000000,16.559461,-0.000000,-2.320448,0.555169
26,51.968034,90.000001,0.030387,-0.000347,-0.000000,16.507931,0.000000,-2.391933,0.577376
