,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,50.851276,-3.857618,0.005643,5.268396,0.450481,3.481314,0.077019,0.000000
1,1.999967,51.060762,-3.846032,0.005941,5.405051,0.453504,2.869527,0.026577,0.039254
2,3.999935,51.274249,-3.833859,0.006229,5.517227,0.454543,3.019858,-0.024375,0.078346
3,5.999902,51.491317,-3.821119,0.006507,5.634786,0.453594,3.731493,-0.076056,0.117275
4,7.999869,51.712550,-3.807835,0.006771,5.779435,0.450646,4.770818,-0.128248,0.156039
5,9.999836,51.939178,-3.794042,0.007017,5.963579,0.445696,3.080778,-0.179669,0.194637
6,11.999804,52.170627,-3.779777,0.007241,6.081971,0.438791,0.026486,-0.228912,0.233066
7,13.999771,52.403339,-3.765086,0.007442,6.082984,0.430033,-0.585092,-0.276034,0.271325
8,15.999738,52.634623,-3.750017,0.007618,6.060697,0.419519,-0.690214,-0.321523,0.309417
9,17.999705,52.863986,-3.734623,0.007767,6.034520,0.407324,-0.706307,-0.365462,0.347343
10,19.999673,53.091369,-3.718960,0.007886,6.007847,0.393523,-0.633222,-0.407856,0.385107
11,21.999640,53.316843,-3.703088,0.007976,5.984035,0.378186,-0.553381,-0.448687,0.422711
12,23.999607,53.540542,-3.687066,0.008035,5.963312,0.361384,-0.353991,-0.487928,0.460159
13,25.999574,53.762685,-3.670956,0.008064,5.950111,0.343187,-0.255551,-0.525533,0.497452
14,27.999542,53.983499,-3.654817,0.008063,5.940620,0.323669,-0.203344,-0.561432,0.534592
15,29.999509,54.203105,-3.638710,0.008032,5.933098,0.302901,-0.317212,-0.595560,0.571582
16,31.999476,54.421476,-3.622694,0.007972,5.921411,0.280960,-0.440165,-0.627861,0.608424
17,33.999443,54.638468,-3.606825,0.007884,5.905259,0.257920,-0.408921,-0.658310,0.645120
18,35.999411,54.854038,-3.591158,0.007771,5.890313,0.233858,-0.277389,-0.686888,0.681671
19,37.999378,55.068311,-3.575744,0.007632,5.880213,0.208850,-0.108760,-0.713570,0.718079
20,39.999345,55.281500,-3.560629,0.007472,5.876269,0.182970,-0.071136,-0.738323,0.754346
21,41.999312,55.493753,-3.545854,0.007292,5.873699,0.156296,-0.197920,-0.761130,0.790475
22,43.999280,55.705022,-3.531459,0.007093,5.866576,0.128903,-0.333915,-0.781981,0.826465
23,45.999247,55.915149,-3.517479,0.006878,5.854603,0.100865,-0.488990,-0.800880,0.862319
24,47.999214,56.123963,-3.503944,0.006648,5.837137,0.072258,-0.531470,-0.817839,0.898039
25,49.999181,56.331353,-3.490881,0.006407,5.818223,0.043154,-1.009117,-0.832879,0.933626
26,51.999149,56.537010,-3.478308,0.006158,5.782444,0.013623,-1.015068,-0.846013,0.969082
27,53.999116,56.740653,-3.466241,0.005903,5.746585,-0.016264,-1.016056,-0.857228,1.004410
28,55.999083,56.942305,-3.454691,0.005642,5.710819,-0.046439,-1.056377,-0.866577,1.039610
29,57.999051,57.141964,-3.443666,0.005379,5.673766,-0.076834,-1.101084,-0.874056,1.074685
30,59.999018,57.339602,-3.433166,0.005117,5.635281,-0.107385,-1.116102,-0.879682,1.109637
31,61.998985,57.535210,-3.423189,0.004858,5.596406,-0.138025,-1.116033,-0.883477,1.144469
32,63.998952,57.728802,-3.413727,0.004603,5.557666,-0.168693,-1.116285,-0.885457,1.179181
33,65.998920,57.920402,-3.404768,0.004355,5.519047,-0.199325,-1.091757,-0.885643,1.213776
34,67.998887,58.110050,-3.396298,0.004115,5.481404,-0.229862,-1.083138,-0.884051,1.248256
35,69.998854,58.297788,-3.388300,0.003884,5.444180,-0.260244,-1.461466,-0.880696,1.282623
36,71.998821,58.483421,-3.380753,0.003664,5.394117,-0.290412,-2.152003,-0.875866,1.316878
37,73.998789,58.666352,-3.373634,0.003456,5.320636,-0.320319,-1.690242,-0.870187,1.351023
38,75.998756,58.846479,-3.366919,0.003261,5.263103,-0.349939,-1.168485,-0.864016,1.385062
39,77.998723,59.024400,-3.360580,0.003080,5.223452,-0.379258,-0.973608,-0.857256,1.418995
40,79.998690,59.200553,-3.354589,0.002914,5.190515,-0.408259,-1.308273,-0.849654,1.452825
41,81.998658,59.374876,-3.348916,0.002763,5.146389,-0.436916,-0.603352,-0.841202,1.486554
42,83.998625,59.547599,-3.343531,0.002625,5.126100,-0.465204,-1.987666,-0.831788,1.520182
43,85.998592,59.718358,-3.338407,0.002502,5.059454,-0.493094,-3.330232,-0.821086,1.553712
44,87.998559,59.885652,-3.333517,0.002392,4.948112,-0.520546,-4.625567,-0.809066,1.587145
45,89.998527,60.048051,-3.328836,0.002293,4.793896,-0.547520,-5.872394,-0.795697,1.620485
46,91.998494,60.204204,-3.324342,0.002204,4.598636,-0.573977,-7.069838,-0.780949,1.653735
47,93.998461,60.352831,-3.320020,0.002121,4.364163,-0.599878,-8.217171,-0.764798,1.686901
48,95.998428,60.492723,-3.315860,0.002041,4.092297,-0.625181,-9.313681,-0.747217,1.719986
49,97.998396,60.622738,-3.311858,0.001963,3.784846,-0.649847,-10.358601,-0.728178,1.752997
50,99.998363,60.741799,-3.308015,0.001881,3.443608,-0.673835,-11.351191,-0.707659,1.785939
51,101.998330,60.848892,-3.304344,0.001791,3.070370,-0.697104,-12.290697,-0.685636,1.818820
52,103.998297,60.943059,-3.300862,0.001691,2.666909,-0.719611,-13.176311,-0.662087,1.851646
53,105.998265,61.023401,-3.297592,0.001577,2.234994,-0.741314,-14.007272,-0.636990,1.884426
54,107.998232,61.089069,-3.294566,0.001447,1.776385,-0.762169,-14.782801,-0.610325,1.917167
55,109.998199,61.139266,-3.291818,0.001298,1.292837,-0.782133,-15.502132,-0.582072,1.949877
56,111.998167,61.173245,-3.289391,0.001127,0.786098,-0.801160,-16.164572,-0.552212,1.982565
57,113.998134,61.190301,-3.287328,0.000933,0.257915,-0.819204,-16.769344,-0.520724,2.015241
58,115.998101,61.189778,-3.285676,0.000714,-0.289969,-0.836217,-17.315774,-0.487589,2.047913
59,117.998068,61.171057,-3.284490,0.000467,-0.855812,-0.852150,-17.803150,-0.452789,2.080590
60,119.998036,61.133562,-3.283829,0.000189,-1.437870,-0.866954,-18.230848,-0.416303,2.113285
61,121.998003,61.076754,-3.283759,-0.000125,-2.034398,-0.880576,-18.598323,-0.378117,2.146005
62,123.997970,61.000132,-3.284354,-0.000477,-2.643644,-0.892962,-18.905016,-0.338210,2.178763
63,125.997937,60.903230,-3.285694,-0.000871,-3.263853,-0.904057,-19.150423,-0.296565,2.211570
64,127.997905,60.785615,-3.287867,-0.001311,-3.893261,-0.913805,-19.334157,-0.253165,2.244437
65,129.997872,60.646890,-3.290969,-0.001801,-4.530094,-0.922143,-19.455891,-0.207994,2.277375
66,131.997839,60.486689,-3.295104,-0.002343,-5.172567,-0.929012,-19.515333,-0.161034,2.310397
67,133.997806,60.304680,-3.300380,-0.002941,-5.818881,-0.934345,-19.512284,-0.112269,2.343515
68,135.997774,60.100563,-3.306908,-0.003596,-6.467223,-0.938075,-19.446587,-0.061682,2.376743
69,137.997741,59.874069,-3.314805,-0.004309,-7.115759,-0.940132,-19.318186,-0.009257,2.410092
70,139.997708,59.624964,-3.324189,-0.005081,-7.762638,-0.940442,-19.127096,0.045025,2.443578
71,141.997675,59.353045,-3.335176,-0.005911,-8.405985,-0.938928,-18.873412,0.101180,2.477213
72,143.997643,59.058146,-3.347883,-0.006798,-9.043898,-0.935508,-18.557333,0.159225,2.511013
73,145.997610,58.740135,-3.362421,-0.007738,-9.674449,-0.930098,-18.179139,0.219178,2.544991
74,147.997577,58.398918,-3.378890,-0.008726,-10.295680,-0.922608,-17.739156,0.281058,2.579164
75,149.997544,58.034441,-3.397378,-0.009754,-10.905598,-0.912944,-17.237794,0.344884,2.613546
76,151.997512,57.646690,-3.417960,-0.010814,-11.502173,-0.901008,-16.675600,0.410677,2.648155
77,153.997479,57.235700,-3.440690,-0.011897,-12.083336,-0.886696,-16.053174,0.478456,2.683006
78,155.997446,56.801551,-3.465598,-0.012987,-12.646974,-0.869897,-15.371139,0.548244,2.718117
79,157.997414,56.344376,-3.492688,-0.014073,-13.190927,-0.850496,-14.630307,0.620064,2.753505
80,159.997381,55.864367,-3.521933,-0.015137,-13.712984,-0.828370,-13.831511,0.693944,2.789188
