,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,48.092422,0.614684,-0.037845,3.210859,1.579781,1.715909,1.517722,0.000000
1,1.999811,48.227317,0.540140,-0.036669,3.282156,1.642844,0.704963,1.360471,0.041551
2,3.999622,48.363910,0.467991,-0.035452,3.311365,1.699211,0.057216,1.202897,0.082983
3,5.999433,48.500765,0.398314,-0.034202,3.313729,1.748908,-0.129856,1.042794,0.124297
4,7.999244,48.637167,0.331169,-0.032923,3.308379,1.791867,-0.526199,0.879301,0.165494
5,9.999055,48.772631,0.266606,-0.031622,3.286763,1.827988,-0.483217,0.712090,0.206573
6,11.998866,48.906867,0.204668,-0.030302,3.266968,1.857159,-0.102898,0.540531,0.247538
7,13.998677,49.040242,0.145384,-0.028970,3.262764,1.879241,0.406866,0.364913,0.288390
8,15.998488,49.173503,0.088774,-0.027630,3.279340,1.894107,0.784159,0.186683,0.329129
9,17.998299,49.307383,0.034847,-0.026289,3.311199,1.901691,1.295622,0.007528,0.369757
10,19.998110,49.442602,-0.016399,-0.024951,3.363692,1.901996,2.079583,-0.171361,0.410273
11,21.997921,49.580204,-0.064973,-0.023620,3.447714,1.895073,2.586703,-0.347994,0.450676
12,23.997732,49.721207,-0.110895,-0.022301,3.551929,1.881053,3.356696,-0.520291,0.490965
13,25.997543,49.866604,-0.154197,-0.021000,3.686775,1.860151,4.068296,-0.686556,0.531137
14,27.997354,50.017530,-0.194915,-0.019719,3.849718,1.832653,4.545067,-0.844572,0.571189
15,29.997165,50.174865,-0.233096,-0.018464,4.031194,1.798931,5.161263,-0.992538,0.611117
16,31.996976,50.339392,-0.268794,-0.017237,4.236609,1.759429,5.529784,-1.128954,0.650917
17,33.996787,50.511790,-0.302068,-0.016042,4.455951,1.714648,5.920824,-1.252449,0.690582
18,35.996598,50.692544,-0.332985,-0.014881,4.689981,1.665143,6.173220,-1.362039,0.730109
19,37.996409,50.882031,-0.361614,-0.013755,4.933094,1.611504,6.214726,-1.456952,0.769491
20,39.996220,51.080346,-0.388031,-0.012668,5.176907,1.554345,6.115491,-1.536725,0.808722
21,41.996031,51.287305,-0.412312,-0.011620,5.415873,1.494297,5.903188,-1.601190,0.847798
22,43.995842,51.502531,-0.434536,-0.010611,5.645592,1.431987,5.516307,-1.650412,0.886712
23,45.995653,51.725431,-0.454782,-0.009641,5.859342,1.368036,5.064185,-1.684622,0.925461
24,47.995464,51.955248,-0.473126,-0.008710,6.054714,1.303045,2.638510,-1.706340,0.964040
25,49.995275,52.189733,-0.489647,-0.007818,6.156049,1.237511,0.049788,-1.723826,1.002446
26,51.995086,52.425135,-0.504423,-0.006964,6.157953,1.171603,-0.256483,-1.738812,1.040679
27,53.994897,52.659332,-0.517525,-0.006145,6.148190,1.105421,-0.279385,-1.751080,1.078741
28,55.994708,52.892105,-0.529025,-0.005361,6.137604,1.039067,-0.327666,-1.760678,1.116634
