right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
289.486491,699.556364,1.591989,299.275871,687.802404,-0.831053
289.161629,699.290961,1.592494,299.183458,687.723778,-0.831319
288.836768,699.025558,1.593000,298.864150,687.447469,-0.832704
288.511906,698.760155,1.593506,298.548512,687.174336,-0.834074
288.187633,698.494036,1.593941,298.232874,686.901203,-0.835443
287.864474,698.226561,1.594240,297.924717,686.634259,-0.836685
287.541316,697.959086,1.594540,297.605645,686.357676,-0.837907
287.218158,697.691611,1.594840,297.290241,686.084272,-0.839115
286.896283,697.422596,1.594974,296.982181,685.817216,-0.840290
286.574982,697.152892,1.595033,296.667050,685.543496,-0.841347
286.253682,696.883188,1.595092,296.351919,685.269777,-0.842404
285.932443,696.613411,1.595144,296.033124,684.992875,-0.843473
285.612838,696.341700,1.595005,295.729130,684.728538,-0.844428
285.293234,696.069988,1.594867,295.414313,684.454457,-0.845342
284.973629,695.798277,1.594728,295.095835,684.177190,-0.846268
284.654569,695.525929,1.594541,294.781017,683.903109,-0.847182
284.336388,695.252551,1.594274,294.477495,683.638230,-0.847948
284.018207,694.979174,1.594007,294.163031,683.363744,-0.848731
283.700027,694.705796,1.593740,293.848567,683.089257,-0.849513
283.382818,694.431293,1.593397,293.548843,682.827408,-0.850224
283.065972,694.156370,1.593025,293.231122,682.549273,-0.850892
282.749127,693.881446,1.592653,292.917053,682.274334,-0.851552
282.432373,693.606417,1.592275,292.599331,681.996199,-0.852220
282.116773,693.330065,1.591821,292.303828,681.736897,-0.852762
281.801172,693.053713,1.591368,291.986548,681.458259,-0.853316
281.485572,692.777361,1.590914,291.672914,681.182823,-0.853864
281.170455,692.500459,1.590436,291.377565,680.923345,-0.854369
280.856008,692.222796,1.589924,291.060768,680.644157,-0.854818
280.541561,691.945132,1.589412,290.747612,680.368179,-0.855263
280.227113,691.667469,1.588900,290.434456,680.092200,-0.855708
279.913311,691.389078,1.588402,290.150807,679.841468,-0.856099
279.599706,691.110464,1.587907,289.838450,679.564587,-0.856517
279.286101,690.831850,1.587412,289.522460,679.284485,-0.856940
278.972623,690.553092,1.586911,289.210102,679.007604,-0.857359
278.660163,690.273194,1.586362,288.920012,678.749505,-0.857674
278.347704,689.993296,1.585813,288.604579,678.468776,-0.858010
278.035244,689.713398,1.585264,288.292771,678.191275,-0.858343
277.723259,689.432973,1.584702,287.991935,677.923349,-0.858624
277.411837,689.151921,1.584125,287.680453,677.645482,-0.858817
277.100415,688.870868,1.583548,287.365349,677.364385,-0.859012
276.788993,688.589816,1.582971,287.053866,677.086518,-0.859205
276.478269,688.307994,1.582405,286.746123,676.811752,-0.859263
276.167715,688.025983,1.581841,286.434799,676.533709,-0.859277
275.857161,687.743972,1.581277,286.119854,676.252432,-0.859291
275.546699,687.461860,1.580724,285.804897,675.971170,-0.859256
275.236759,687.179173,1.580234,285.489891,675.689963,-0.859035
274.926820,686.896487,1.579743,285.178506,675.411988,-0.858818
274.616881,686.613801,1.579253,284.863499,675.130781,-0.858598
274.306905,686.331154,1.578879,284.577851,674.874994,-0.858360
273.996892,686.048548,1.578624,284.267116,674.596292,-0.858080
273.686880,685.765941,1.578368,283.952768,674.314350,-0.857797
273.376867,685.483335,1.578113,283.660104,674.051847,-0.857533
273.066620,685.200986,1.578096,283.364597,673.785246,-0.857243
272.756329,684.918685,1.578124,283.051071,673.502389,-0.856936
272.446039,684.636383,1.578151,282.741150,673.222783,-0.856632
272.135682,684.354155,1.578236,282.460311,672.968908,-0.856345
271.825042,684.072238,1.578564,282.151164,672.688445,-0.856007
271.514402,683.790322,1.578891,281.838423,672.404721,-0.855666
271.203762,683.508405,1.579219,281.529276,672.124259,-0.855328
270.893235,683.226364,1.579637,281.249394,671.869329,-0.854991
270.582807,682.944215,1.580132,280.937392,671.584793,-0.854604
270.272378,682.662066,1.580628,280.628975,671.303528,-0.854222
269.961949,682.379917,1.581123,280.349296,671.048375,-0.853873
269.652101,682.097131,1.581674,280.041655,670.766262,-0.853457
269.342329,681.814261,1.582233,279.730437,670.480869,-0.853035
269.032558,681.531391,1.582791,279.422795,670.198756,-0.852618
268.722971,681.248320,1.583356,279.158514,669.955537,-0.852278
268.414000,680.964575,1.583944,278.852006,669.672194,-0.851910
268.105029,680.680830,1.584533,278.541934,669.385556,-0.851538
267.796059,680.397085,1.585121,278.235425,669.102212,-0.851170
267.487734,680.112640,1.585683,277.976075,668.860811,-0.850900
267.179884,679.827680,1.586227,277.667209,668.572874,-0.850589
266.872035,679.542719,1.586770,277.361893,668.288246,-0.850282
266.564185,679.257759,1.587314,277.099193,668.043318,-0.850019
266.257607,678.971430,1.587762,276.795002,667.757489,-0.849756
265.951137,678.684987,1.588202,276.487273,667.468336,-0.849491
265.644666,678.398544,1.588642,276.183082,667.182507,-0.849229
265.338600,678.111669,1.589047,275.925276,666.939456,-0.849029
265.033636,677.823623,1.589356,275.622339,666.652298,-0.848840
264.728671,677.535576,1.589664,275.315878,666.361801,-0.848649
264.423706,677.247530,1.589973,275.012941,666.074643,-0.848460
264.119649,676.958528,1.590207,274.760118,665.833392,-0.848351
263.816157,676.668930,1.590395,274.454963,665.541524,-0.848241
263.512665,676.379332,1.590582,274.153316,665.253011,-0.848132
263.209174,676.089734,1.590769,273.876221,664.987982,-0.848032
262.906837,675.798931,1.590900,273.593205,664.715104,-0.847976
262.604545,675.508080,1.591030,273.292720,664.425380,-0.847917
262.302254,675.217229,1.591160,272.988742,664.132287,-0.847857
262.000388,674.925939,1.591259,272.726960,663.879343,-0.847808
261.699475,674.633662,1.591291,272.423980,663.585218,-0.847757
261.398563,674.341385,1.591324,272.124482,663.294475,-0.847707
261.097650,674.049107,1.591356,271.821502,663.000350,-0.847656
260.797776,673.755767,1.591295,271.539724,662.726194,-0.847531
260.498451,673.461865,1.591184,271.237196,662.431604,-0.847364
260.199125,673.167963,1.591074,270.938145,662.140400,-0.847200
259.899800,672.874060,1.590964,270.635615,661.845812,-0.846999
259.601800,672.578814,1.590771,270.333074,661.551237,-0.846611
259.303801,672.283568,1.590579,270.034010,661.260047,-0.846227
259.005801,671.988321,1.590386,269.734946,660.968857,-0.845843
258.708200,671.692674,1.590179,269.457080,660.697641,-0.845444
258.411348,671.396274,1.589946,269.155154,660.402435,-0.844977
258.114496,671.099873,1.589712,268.856698,660.110622,-0.844516
257.817644,670.803473,1.589479,268.561712,659.822203,-0.844060
257.521262,670.506603,1.589291,268.298913,659.563351,-0.843677
257.225087,670.209526,1.589122,267.998081,659.267029,-0.843240
256.928912,669.912450,1.588954,267.700707,658.974114,-0.842807
256.632753,669.615357,1.588791,267.448528,658.725230,-0.842454
256.336961,669.317899,1.588754,267.152438,658.431018,-0.842095
256.041170,669.020440,1.588717,266.852904,658.133384,-0.841731
255.745378,668.722981,1.588680,266.556814,657.839171,-0.841372
255.449960,668.425153,1.588644,266.302617,657.585430,-0.841083
255.155131,668.126740,1.588608,266.004233,657.286644,-0.840759
254.860302,667.828327,1.588573,265.709279,656.991292,-0.840439
254.565474,667.529914,1.588538,265.414325,656.695940,-0.840119
254.271465,667.230694,1.588480,265.165026,656.444170,-0.839910
253.977753,666.931182,1.588413,264.871379,656.147519,-0.839666
253.684042,666.631669,1.588347,264.574317,655.847418,-0.839420
253.390420,666.332069,1.588278,264.328620,655.598914,-0.839223
253.097828,666.031463,1.588180,264.032849,655.297540,-0.839046
252.805236,665.730857,1.588082,263.740479,654.999630,-0.838870
252.512643,665.430251,1.587984,263.444708,654.698256,-0.838693
252.220494,665.129215,1.587881,263.197061,654.444863,-0.838567
251.928939,664.827603,1.587771,262.902518,654.142289,-0.838443
251.637384,664.525991,1.587661,262.611360,653.843194,-0.838321
251.345829,664.224378,1.587551,262.316817,653.540621,-0.838197
251.055211,663.921864,1.587402,262.074033,653.289270,-0.838150
250.764868,663.619085,1.587242,261.780815,652.985411,-0.838101
250.474524,663.316307,1.587083,261.490968,652.685046,-0.838052
250.184333,663.013383,1.586916,261.245004,652.430018,-0.838014
249.895254,662.709397,1.586695,260.956452,652.128408,-0.838034
249.606175,662.405411,1.586475,260.664545,651.823290,-0.838055
