right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
289.467200,699.542205,1.591735,299.296202,687.819094,-0.832109
287.892955,698.254067,1.592818,297.805835,686.532971,-0.839776
286.330839,696.950732,1.592114,296.319168,685.242168,-0.846840
284.779446,695.634179,1.590133,294.833556,683.949827,-0.852540
283.237035,694.306720,1.587444,293.350135,682.654631,-0.857102
281.702812,692.969512,1.584402,291.869085,681.356426,-0.860589
280.176079,691.623574,1.581270,290.390745,680.054871,-0.863074
278.655340,690.270821,1.578498,288.916891,678.748046,-0.864985
277.141761,688.910100,1.575856,287.446268,677.437485,-0.866025
275.634272,687.542853,1.573637,285.976871,676.125487,-0.865734
274.130866,686.171408,1.572300,284.507594,674.813342,-0.863882
272.627092,684.800833,1.572836,283.042722,673.496387,-0.861532
271.121243,683.432865,1.575494,281.583055,672.173911,-0.858891
269.616411,682.064185,1.579382,280.128065,670.846591,-0.855871
268.116312,680.690830,1.583510,278.678836,669.513353,-0.852809
266.622578,679.311109,1.587389,277.237235,668.172315,-0.850197
265.138002,677.922219,1.590339,275.803068,666.823785,-0.848063
263.663504,676.523330,1.592138,274.376936,665.467194,-0.846566
262.197751,675.115896,1.593123,272.958700,664.102775,-0.845671
260.740985,673.699812,1.593317,271.547041,662.731940,-0.845061
259.294127,672.274246,1.592596,270.137301,661.359416,-0.843659
257.855617,670.840884,1.591409,268.729133,659.985477,-0.841404
256.422294,669.402930,1.590500,267.327810,658.604829,-0.839461
254.992496,667.962027,1.590237,265.934254,657.216592,-0.838002
253.569785,666.514616,1.589823,264.548367,655.820908,-0.836984
252.154452,665.060402,1.589183,263.170675,654.417298,-0.836481
250.746207,663.599740,1.588433,261.800674,653.006274,-0.836382
249.346183,662.131510,1.587363,260.438867,651.587377,-0.836769
247.953222,660.656838,1.586274,259.085507,650.160404,-0.837662
246.563602,659.179268,1.585985,257.741531,648.724529,-0.839189
245.170816,657.704783,1.587873,256.404627,647.281998,-0.840770
243.778029,656.230288,1.591173,255.071855,645.835566,-0.841721
242.389881,654.751463,1.594797,253.742501,644.385866,-0.841893
241.007580,653.267181,1.598401,252.419543,642.930178,-0.841992
239.633352,651.775466,1.601403,251.104221,641.467405,-0.842342
238.270251,650.273657,1.603111,249.795683,639.998342,-0.842870
236.924046,648.756743,1.602315,248.490744,638.525822,-0.843013
235.595544,647.224280,1.598956,247.188365,637.050706,-0.842699
234.282332,645.678593,1.593673,245.889615,635.572006,-0.842239
232.981395,644.122516,1.587219,244.598805,634.085942,-0.842535
231.686669,642.561358,1.580968,243.316638,632.591996,-0.843638
230.391940,641.000450,1.576266,242.042396,631.090888,-0.845192
229.094696,639.441927,1.573702,240.774128,629.584358,-0.846575
227.797478,637.883564,1.572784,239.512316,628.072113,-0.847659
226.499042,636.326393,1.573824,238.257584,626.553771,-0.848396
225.201668,634.768545,1.576354,237.008630,625.030551,-0.848362
223.908949,633.207119,1.579685,235.763724,623.503997,-0.847193
222.622572,631.640896,1.583473,234.516256,621.979605,-0.843606
221.343522,630.069193,1.587512,233.266400,620.457203,-0.837844
220.073326,628.490963,1.591426,232.021161,618.931140,-0.831575
218.812038,626.906297,1.595076,230.782868,617.399623,-0.825498
217.559184,625.315636,1.598392,229.553818,615.860888,-0.820263
216.311535,623.721560,1.601874,228.335759,614.313627,-0.816351
215.068787,622.124248,1.605427,227.129902,612.756975,-0.814023
213.832253,620.522655,1.608691,225.936396,611.190883,-0.813257
212.601254,618.917276,1.611773,224.755175,609.615483,-0.813914
211.374982,617.308694,1.614887,223.584311,608.032312,-0.815449
210.157392,615.693875,1.617347,222.420667,606.443813,-0.817059
208.950733,614.071224,1.618893,221.261063,604.852381,-0.817980
207.754201,612.441448,1.619907,220.102274,603.260435,-0.817511
