right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-104.437529,51.676665,-3.349572,-104.547514,40.913330,-3.235665
-105.487193,51.687106,-3.348427,-105.605961,40.924535,-3.234679
-106.536853,51.697854,-3.346776,-106.651957,40.935451,-3.234187
-107.586511,51.708709,-3.344834,-107.697952,40.946437,-3.233954
-108.636168,51.719641,-3.342609,-108.743946,40.957507,-3.233982
-109.685824,51.730565,-3.339840,-109.802393,40.968707,-3.234499
-110.735477,51.741701,-3.336919,-110.848386,40.979885,-3.235157
-111.785129,51.752974,-3.333887,-111.894379,40.991052,-3.235911
-112.834780,51.764242,-3.330803,-112.952828,41.002079,-3.236730
-113.884429,51.775763,-3.327999,-113.998824,41.012980,-3.237275
-114.934077,51.787426,-3.325313,-115.044819,41.023942,-3.237726
-115.983724,51.799208,-3.322677,-116.103266,41.035148,-3.238141
-117.033369,51.811140,-3.319928,-117.149264,41.045898,-3.238645
-118.083013,51.823091,-3.317079,-118.195262,41.056626,-3.239220
-119.132657,51.835042,-3.314125,-119.241260,41.067366,-3.239866
-120.182301,51.846996,-3.311013,-120.299708,41.078398,-3.240636
-121.231944,51.858954,-3.307789,-121.345706,41.089075,-3.241483
-122.281587,51.870915,-3.304481,-122.391706,41.099559,-3.242381
-123.331230,51.882874,-3.301133,-123.437709,41.109780,-3.243291
-124.380872,51.894831,-3.297723,-124.483714,41.119734,-3.244263
-125.430515,51.906789,-3.294273,-125.529721,41.129493,-3.245295
-126.480157,51.918748,-3.290781,-126.575730,41.139026,-3.246406
-127.529802,51.930550,-3.287366,-127.621744,41.148095,-3.247427
-128.579447,51.942254,-3.284008,-128.667759,41.156957,-3.248367
-129.629094,51.953857,-3.280716,-129.713776,41.165613,-3.249213
-130.678746,51.965135,-3.277722,-130.759798,41.173622,-3.249686
-131.728398,51.976409,-3.274879,-131.818271,41.181916,-3.249961
-132.778051,51.987624,-3.272191,-132.864292,41.190139,-3.250035
-133.827707,51.998554,-3.269756,-133.910316,41.197949,-3.249796
-134.877366,52.009235,-3.267421,-134.956342,41.205505,-3.249356
-135.927027,52.019774,-3.265130,-135.989917,41.212635,-3.248896
-136.976689,52.030193,-3.262862,-137.048402,41.219334,-3.248531
-138.026350,52.040761,-3.260430,-138.094433,41.226105,-3.248898
-139.076011,52.051197,-3.257956,-139.140465,41.232678,-3.249304
-140.125674,52.061437,-3.255459,-140.186500,41.238957,-3.249617
-141.175341,52.071343,-3.253025,-141.232538,41.244567,-3.249368
-142.225009,52.081149,-3.250648,-142.278574,41.250265,-3.248397
-143.274678,52.090859,-3.248323,-143.337063,41.256132,-3.246688
-144.324348,52.100426,-3.246059,-144.383095,41.262113,-3.244036
-145.374021,52.109744,-3.243857,-145.429127,41.267850,-3.240481
-146.423694,52.118968,-3.241669,-146.475157,41.273437,-3.236358
-147.473367,52.128190,-3.239460,-147.533638,41.278972,-3.231693
-148.523046,52.136823,-3.237394,-148.567217,41.283656,-3.227160
-149.572725,52.145440,-3.235514,-149.625705,41.288322,-3.223102
-150.622404,52.154147,-3.233841,-150.671743,41.292931,-3.219900
-151.672084,52.162691,-3.232004,-151.705332,41.296650,-3.216693
-152.721765,52.171034,-3.229975,-152.763825,41.300357,-3.213008
-153.771447,52.179182,-3.227679,-153.809863,41.303968,-3.208852
-154.821130,52.187039,-3.224675,-154.855895,41.307726,-3.203408
-155.870812,52.194769,-3.221151,-155.914375,41.311638,-3.197002
-156.920493,52.202401,-3.217182,-156.960396,41.315501,-3.189889
-157.970172,52.209912,-3.212621,-158.006411,41.319247,-3.181712
-159.019852,52.217125,-3.207669,-159.052420,41.322997,-3.172929
-160.069533,52.224218,-3.202687,-160.098429,41.326533,-3.164013
-161.119214,52.231216,-3.197750,-161.156892,41.329802,-3.154956
-162.168902,52.237870,-3.193862,-162.202913,41.332699,-3.147320
-163.218590,52.244429,-3.189931,-163.248934,41.335501,-3.139720
-164.268279,52.250869,-3.185885,-164.294956,41.338185,-3.132062
-165.317967,52.257014,-3.181329,-165.340974,41.340569,-3.123863
-166.367652,52.263036,-3.175870,-166.399438,41.343100,-3.114742
-167.417333,52.269058,-3.169743,-167.445443,41.345653,-3.105100
-168.467009,52.275204,-3.162844,-168.491442,41.348204,-3.094723
-169.516676,52.281352,-3.154863,-169.549882,41.350934,-3.083228
-170.566342,52.287212,-3.146413,-170.595865,41.353729,-3.071441
-171.616007,52.292677,-3.137581,-171.641844,41.356622,-3.059318
-172.665672,52.298313,-3.128818,-172.700272,41.360053,-3.047002
-173.715341,52.304239,-3.120879,-173.746256,41.363552,-3.035423
-174.765014,52.310298,-3.113572,-174.804695,41.367260,-3.024190
-175.814691,52.315760,-3.106206,-175.863133,41.371564,-3.012976
-176.864366,52.320507,-3.098276,-176.909115,41.375942,-3.001541
-177.914038,52.324575,-3.089646,-177.967543,41.380568,-2.989546
-178.963704,52.327653,-3.079799,-179.013509,41.385503,-2.977002
-180.013360,52.329857,-3.068741,-180.059467,41.390296,-2.963757
-181.063006,52.331193,-3.056761,-181.117870,41.395265,-2.949818
-182.112642,52.331535,-3.043798,-182.163812,41.400368,-2.935490
-183.162267,52.331036,-3.029984,-183.222198,41.405874,-2.920520
-184.211892,52.329858,-3.016178,-184.268132,41.411223,-2.905699
-185.261519,52.328126,-3.002617,-185.314069,41.416525,-2.890981
-186.311165,52.326245,-2.990617,-186.372466,41.422033,-2.876849
-187.360811,52.324484,-2.978581,-187.418412,41.427483,-2.862897
-188.410453,52.322683,-2.966273,-188.464356,41.432979,-2.848838
-189.460087,52.320633,-2.953273,-189.522747,41.438657,-2.834325
-190.509700,52.319302,-2.938654,-190.568677,41.444418,-2.819312
-191.559300,52.318247,-2.923055,-191.614600,41.450204,-2.803909
-192.608885,52.317393,-2.906495,-192.672970,41.456062,-2.787935
-193.658439,52.317888,-2.888045,-193.718875,41.462021,-2.771381
-194.707986,52.318779,-2.869215,-194.777227,41.468245,-2.754407
-195.757526,52.319992,-2.850018,-195.823124,41.474517,-2.737466
-196.807055,52.321365,-2.830205,-196.869021,41.480647,-2.720505
-197.856583,52.321541,-2.810346,-197.914926,41.486897,-2.704040
-198.906114,52.321472,-2.790649,-198.973285,41.493270,-2.687589
-199.955654,52.322158,-2.771453,-200.019193,41.499565,-2.671345
-201.005202,52.324558,-2.752813,-201.065097,41.505862,-2.654820
-202.054759,52.328760,-2.735117,-202.123446,41.512307,-2.637780
-203.104327,52.335084,-2.718630,-203.169338,41.518775,-2.620580
-204.153901,52.344077,-2.703876,-204.215219,41.525411,-2.602850
-205.203468,52.355198,-2.690286,-205.261096,41.531856,-2.584764
-206.253028,52.368157,-2.677685,-206.319419,41.538273,-2.566143
-207.302582,52.382157,-2.665596,-207.365285,41.544914,-2.547485
-208.352128,52.397108,-2.654099,-208.411150,41.551428,-2.528803
-209.401670,52.412659,-2.642978,-209.469470,41.558065,-2.510045
-210.451208,52.428709,-2.632173,-210.515343,41.564876,-2.491908
-211.500757,52.443479,-2.620634,-211.573668,41.571759,-2.473575
-212.550311,52.457371,-2.608536,-212.619540,41.578562,-2.455352
-213.599870,52.470343,-2.595829,-213.665410,41.585370,-2.436981
-214.649441,52.478339,-2.580288,-214.711271,41.592175,-2.418125
-215.699004,52.483137,-2.563318,-215.769579,41.598967,-2.398814
-216.748556,52.484842,-2.544885,-216.815433,41.605606,-2.379489
-217.798059,52.482449,-2.523873,-217.861278,41.612242,-2.359737
-218.847543,52.479363,-2.502028,-218.919570,41.619073,-2.339580
-219.897017,52.476295,-2.479678,-219.965410,41.625828,-2.319578
-220.946486,52.474247,-2.456974,-221.011250,41.632463,-2.299544
-221.995981,52.475562,-2.435559,-222.069546,41.639466,-2.279617
-223.045481,52.479004,-2.414602,-223.115390,41.646580,-2.259994
