right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-104.451615,51.676740,-3.349906,-104.502693,40.912864,-3.236071
-106.452264,51.696938,-3.346608,-106.499588,40.933851,-3.235430
-108.452943,51.717700,-3.342600,-108.496551,40.954826,-3.235266
-110.453665,51.738659,-3.337966,-110.493570,40.976095,-3.235542
-112.454426,51.760102,-3.332829,-112.490677,40.997279,-3.236181
-114.455235,51.782011,-3.327340,-114.487900,41.018081,-3.237087
-116.456092,51.804520,-3.321602,-116.485260,41.039088,-3.238214
-118.457006,51.827321,-3.315676,-118.482765,41.059526,-3.239536
-120.457977,51.850095,-3.309595,-120.480424,41.080240,-3.241063
-122.459007,51.872895,-3.303414,-122.478249,41.100426,-3.242759
-124.460084,51.895691,-3.297205,-124.476272,41.119678,-3.244567
-126.461220,51.918489,-3.291077,-126.474471,41.138098,-3.246373
-128.462400,51.940970,-3.285140,-128.472873,41.155395,-3.248041
-130.463625,51.962831,-3.279477,-130.471466,41.171433,-3.249442
-132.464891,51.984266,-3.274131,-132.470249,41.187019,-3.250457
-134.466180,52.005094,-3.269082,-134.469234,41.202101,-3.251002
-136.467493,52.025102,-3.264258,-136.468413,41.215669,-3.251012
-138.468816,52.045165,-3.259624,-138.467783,41.228485,-3.250366
-140.470140,52.064727,-3.255187,-140.467333,41.240497,-3.248876
-142.471453,52.083434,-3.250985,-142.467075,41.251230,-3.246309
-144.472753,52.101722,-3.247008,-144.466973,41.262527,-3.242478
-146.474030,52.119465,-3.243138,-146.467027,41.273478,-3.237303
-148.475263,52.136461,-3.239161,-148.467247,41.283243,-3.230814
-150.476445,52.152885,-3.234867,-150.467617,41.292042,-3.223047
-152.477572,52.169161,-3.230075,-152.468128,41.299337,-3.214023
-154.478629,52.184506,-3.224693,-154.468768,41.306282,-3.203695
-156.479609,52.199205,-3.218656,-156.469519,41.313674,-3.192021
-158.480506,52.213446,-3.211882,-158.470373,41.320926,-3.179001
-160.481300,52.226982,-3.204270,-160.471345,41.327737,-3.164674
-162.481990,52.239846,-3.195708,-162.472409,41.333448,-3.149111
-164.482569,52.252154,-3.186084,-164.473550,41.338579,-3.132375
-166.483028,52.263657,-3.175321,-166.474761,41.343253,-3.114501
-168.483353,52.275298,-3.163368,-168.476048,41.348167,-3.095492
-170.483551,52.286760,-3.150176,-170.477387,41.353308,-3.075346
-172.483609,52.297185,-3.135686,-172.478777,41.359211,-3.054057
-174.483524,52.308688,-3.119839,-174.480215,41.366015,-3.031634
-176.483289,52.319024,-3.102496,-176.481694,41.374030,-3.008122
-178.482907,52.326547,-3.083517,-178.483200,41.382975,-2.983574
-180.482368,52.330795,-3.062793,-180.484733,41.392252,-2.958036
-182.481676,52.331701,-3.040288,-182.486290,41.402015,-2.931537
-184.480832,52.329572,-3.016021,-184.487858,41.412335,-2.904115
-186.479840,52.326084,-2.990016,-186.489438,41.422621,-2.875870
-188.478688,52.322606,-2.962289,-188.491055,41.433135,-2.846988
-190.477401,52.319412,-2.932866,-190.492677,41.444039,-2.817716
-192.475967,52.317584,-2.901892,-192.494329,41.455094,-2.788249
-194.474403,52.318535,-2.869694,-194.496010,41.466601,-2.758679
-196.472727,52.321194,-2.836791,-196.497716,41.478485,-2.728906
-198.470963,52.321502,-2.803813,-198.499467,41.490401,-2.698664
-200.469132,52.322727,-2.771523,-200.501260,41.502463,-2.667560
-202.467237,52.330407,-2.740569,-202.503084,41.514630,-2.635212
-204.465285,52.346567,-2.711254,-204.504959,41.527214,-2.601395
-206.463277,52.370521,-2.683443,-206.506904,41.539503,-2.566123
-208.461233,52.398518,-2.656539,-208.508913,41.552046,-2.529700
-210.459149,52.428760,-2.629689,-210.511017,41.564855,-2.492581
-212.457043,52.456945,-2.601889,-212.513222,41.577951,-2.455270
-214.454945,52.478290,-2.572252,-214.515540,41.591016,-2.418149
-216.452907,52.485410,-2.540134,-216.517990,41.603841,-2.381393
-218.450925,52.480859,-2.505429,-218.520575,41.616619,-2.344930
-220.448967,52.474483,-2.468514,-220.523293,41.629419,-2.308488
-222.446985,52.476205,-2.429971,-222.526136,41.642555,-2.271724
-224.444973,52.486412,-2.390257,-224.529121,41.656391,-2.234379
-226.442989,52.500158,-2.349679,-226.532266,41.669879,-2.196311
-228.441081,52.513929,-2.308485,-228.535564,41.683358,-2.157517
-230.439270,52.527692,-2.266893,-230.539037,41.696150,-2.118066
-232.437534,52.544678,-2.225099,-232.542698,41.709123,-2.078100
-234.435913,52.562697,-2.183195,-234.546560,41.722767,-2.037750
-236.434426,52.581814,-2.141279,-236.550621,41.736961,-1.997120
-238.433076,52.602586,-2.099421,-238.554912,41.750915,-1.956284
-240.431888,52.623510,-2.057660,-240.559447,41.763932,-1.915281
-242.430875,52.644838,-2.016002,-242.564221,41.776117,-1.874169
-244.430032,52.667169,-1.974436,-244.569244,41.788048,-1.833001
-246.429371,52.689898,-1.932902,-246.574497,41.800737,-1.791836
-248.428879,52.713166,-1.891331,-248.580000,41.813608,-1.750716
-250.428546,52.738438,-1.849681,-250.585726,41.826465,-1.709655
-252.428351,52.765309,-1.807891,-252.591675,41.839349,-1.668663
-254.428297,52.793558,-1.765917,-254.597817,41.851482,-1.627715
-256.428361,52.822820,-1.723721,-256.604121,41.863791,-1.586805
-258.428548,52.850973,-1.681218,-258.610562,41.876335,-1.545942
-260.428830,52.878490,-1.638335,-260.617065,41.889100,-1.505164
-262.429127,52.906999,-1.595012,-262.623604,41.902621,-1.464520
-264.429359,52.938424,-1.551215,-264.630108,41.916598,-1.424036
-266.429481,52.972125,-1.506922,-266.636485,41.931425,-1.383709
-268.429480,53.004870,-1.462169,-268.642655,41.947869,-1.343485
-270.429345,53.033979,-1.416982,-270.648524,41.964968,-1.303313
-272.428992,53.059448,-1.371420,-272.653954,41.983841,-1.263190
-274.428294,53.083309,-1.325512,-274.658809,42.004984,-1.223154
-276.427104,53.107965,-1.279297,-276.662982,42.027106,-1.183233
-278.425298,53.133709,-1.232803,-278.666302,42.051050,-1.143466
-280.422802,53.158729,-1.186101,-280.668613,42.076679,-1.103844
-282.419466,53.184641,-1.139291,-282.669774,42.102923,-1.064352
-284.415192,53.210285,-1.092440,-284.669612,42.129888,-1.025004
-286.409891,53.234281,-1.045607,-286.667923,42.158680,-0.985824
-288.403513,53.254813,-0.998834,-288.664523,42.188725,-0.946833
-290.395930,53.272961,-0.952161,-290.659265,42.219957,-0.908061
-292.387066,53.288775,-0.905643,-292.651986,42.252661,-0.869501
-294.376819,53.304580,-0.859332,-294.642586,42.285492,-0.831123
-296.365153,53.321066,-0.813282,-296.630995,42.318670,-0.792863
-298.352117,53.337109,-0.767525,-298.617109,42.353352,-0.754634
-300.337775,53.353856,-0.722042,-300.600873,42.389088,-0.716354
-302.322270,53.371005,-0.676771,-302.582257,42.425985,-0.677931
-304.305812,53.388111,-0.631587,-304.561332,42.463556,-0.639286
-306.288706,53.404691,-0.586316,-306.538084,42.500828,-0.600363
-308.271302,53.422074,-0.540795,-308.512361,42.538459,-0.561076
-310.254061,53.440882,-0.494858,-310.483981,42.577129,-0.521338
-312.237479,53.464210,-0.448333,-312.452651,42.619703,-0.481072
-314.222320,53.488720,-0.401102,-314.417976,42.664549,-0.440215
-316.209317,53.513466,-0.353036,-316.379707,42.711402,-0.398739
-318.199292,53.533925,-0.304059,-318.337913,42.750578,-0.356670
-320.192970,53.555580,-0.254060,-320.292507,42.766677,-0.314116
-322.191266,53.578653,-0.202966,-322.242711,42.776541,-0.271053
-324.195245,53.602052,-0.150722,-324.187388,42.790961,-0.227492
-326.205986,53.616486,-0.097374,-326.125444,42.828638,-0.183358
-328.224555,53.626778,-0.042900,-328.056012,42.875730,-0.138787
-330.252193,53.637208,0.012694,-329.978014,42.921601,-0.093876
-332.290253,53.646972,0.069352,-331.890535,42.969666,-0.048544
-334.340101,53.652345,0.127021,-333.792736,43.019349,-0.002700
-336.403086,53.649458,0.185697,-335.683769,43.064738,0.043705
-338.480562,53.634519,0.245460,-337.562444,43.095061,0.090624
-340.575181,53.615954,0.306668,-339.427762,43.104385,0.138008
-342.690695,53.601758,0.369768,-341.280943,43.102457,0.186057
