s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,294.381181,693.679384,0.380468,-2.449620,-0.000246,-0.157169,0.053339,0.006849,-0.000432,-7.743686,7.743686,-0.000418,-0.001585,0.053754
0.270405,294.172543,693.507370,0.380588,-2.435197,0.001606,-0.157286,-0.000323,-0.000038,0.000003,-7.747768,7.747768,0.000003,0.000013,-0.000325
0.691239,293.850459,693.236514,0.380148,-2.435333,0.001590,-0.157285,0.001475,0.000108,0.000037,-7.753783,7.753783,0.000035,-0.000124,0.001473
1.109647,293.530209,692.967245,0.379716,-2.434716,0.001635,-0.157269,0.002845,-0.000136,0.000067,-7.759797,7.759797,0.000062,-0.000580,0.002788
1.528061,293.210254,692.697619,0.379249,-2.433525,0.001578,-0.157241,0.001361,-0.000070,-0.000023,-7.765349,7.765349,-0.000025,-0.000282,0.001333
1.941632,292.894595,692.430410,0.378778,-2.432963,0.001549,-0.157251,-0.000297,-0.000036,0.000003,-7.770125,7.770125,0.000004,0.000011,-0.000299
2.362482,292.573480,692.158381,0.378317,-2.433087,0.001534,-0.157249,0.002913,0.000212,0.000081,-7.774964,7.774964,0.000076,-0.000247,0.002910
2.780905,292.254200,691.887942,0.377862,-2.431869,0.001623,-0.157215,0.002956,-0.000242,0.000016,-7.779803,7.779803,0.000011,-0.000702,0.002881
3.194485,291.939232,691.619906,0.377342,-2.430646,0.001523,-0.157209,0.000155,0.000012,-0.000004,-7.783648,7.783648,-0.000004,-0.000012,0.000155
3.612921,291.621016,691.348194,0.376843,-2.430581,0.001528,-0.157210,0.000348,0.000034,0.000002,-7.787231,7.787231,0.000001,-0.000021,0.000349
4.031357,291.302800,691.076482,0.376344,-2.430436,0.001542,-0.157210,0.003555,-0.000017,0.000119,-7.790813,7.790813,0.000113,-0.000574,0.003508
4.452220,290.982783,690.803143,0.375835,-2.428940,0.001535,-0.157160,0.001803,-0.000113,-0.000037,-7.794348,7.794348,-0.000040,-0.000394,0.001763
4.863384,290.670984,690.535119,0.375289,-2.428198,0.001488,-0.157175,0.000193,0.000029,-0.000003,-7.796726,7.796726,-0.000003,-0.000002,0.000195
5.281828,290.353773,690.262223,0.374762,-2.428117,0.001500,-0.157176,0.000943,0.000013,0.000041,-7.799221,7.799221,0.000039,-0.000134,0.000933
5.702699,290.034732,689.987733,0.374230,-2.427721,0.001506,-0.157159,0.002759,-0.000326,0.000060,-7.801717,7.801717,0.000056,-0.000754,0.002674
6.121144,289.717793,689.714519,0.373679,-2.426566,0.001369,-0.157134,0.001443,0.000086,-0.000033,-7.803796,7.803796,-0.000035,-0.000140,0.001439
6.532312,289.406942,689.445391,0.373163,-2.425973,0.001405,-0.157147,0.000162,0.000009,-0.000004,-7.805430,7.805430,-0.000004,-0.000016,0.000161
6.950760,289.090619,689.171459,0.372638,-2.425905,0.001409,-0.157149,0.002493,-0.000081,0.000066,-7.807090,7.807090,0.000062,-0.000470,0.002450
7.369208,288.774297,688.897526,0.372113,-2.424862,0.001375,-0.157122,0.003220,-0.000116,-0.000014,-7.808750,7.808750,-0.000019,-0.000618,0.003163
7.777951,288.465830,688.629350,0.371586,-2.423546,0.001328,-0.157128,-0.000223,-0.000021,0.000005,-7.809761,7.809761,0.000006,0.000014,-0.000223
8.198828,288.148547,688.352822,0.371066,-2.423639,0.001319,-0.157125,0.000370,0.000019,0.000002,-7.810693,7.810693,0.000002,-0.000039,0.000369
8.617278,287.833090,688.077890,0.370551,-2.423484,0.001326,-0.157125,0.002991,-0.000301,0.000098,-7.811624,7.811624,0.000094,-0.000766,0.002907
9.038155,287.515852,687.801308,0.370028,-2.422225,0.001200,-0.157083,0.002356,0.000070,-0.000058,-7.812486,7.812486,-0.000061,-0.000299,0.002338
9.444472,287.210301,687.533481,0.369529,-2.421268,0.001228,-0.157107,-0.000215,-0.000014,0.000006,-7.812708,7.812708,0.000006,0.000020,-0.000214
9.865350,286.893860,687.255986,0.369026,-2.421359,0.001222,-0.157105,0.001332,-0.000048,0.000030,-7.813017,7.813017,0.000029,-0.000256,0.001308
10.283802,286.579243,686.980092,0.368525,-2.420801,0.001202,-0.157092,0.004550,-0.000192,0.000005,-7.813325,7.813325,-0.000001,-0.000901,0.004464
10.690118,286.274010,686.711902,0.368033,-2.418953,0.001124,-0.157090,-0.000208,-0.000012,0.000006,-7.813318,7.813318,0.000006,0.000020,-0.000207
11.110996,285.958388,686.433476,0.367553,-2.419040,0.001119,-0.157087,0.000158,0.000013,-0.000005,-7.813110,7.813110,-0.000005,-0.000012,0.000158
11.529447,285.644587,686.156655,0.367075,-2.418974,0.001124,-0.157089,0.002529,-0.000239,0.000065,-7.812902,7.812902,0.000062,-0.000632,0.002460
11.947899,285.330784,685.879835,0.366596,-2.417916,0.001024,-0.157062,0.004559,0.000103,-0.000063,-7.812695,7.812695,-0.000068,-0.000611,0.004519
12.346935,285.032059,685.615273,0.366152,-2.416096,0.001065,-0.157087,0.000156,0.000012,-0.000005,-7.812317,7.812317,-0.000005,-0.000013,0.000156
12.765386,284.719078,685.337525,0.365695,-2.416031,0.001070,-0.157089,0.000066,-0.000017,0.000014,-7.812080,7.812080,0.000014,-0.000027,0.000062
13.186264,284.404281,685.058168,0.365236,-2.416003,0.001063,-0.157083,0.003559,-0.000319,0.000092,-7.811843,7.811843,0.000088,-0.000871,0.003465
13.604716,284.091363,684.780348,0.364776,-2.414514,0.000930,-0.157045,0.002481,0.000149,-0.000073,-7.811510,7.811510,-0.000076,-0.000240,0.002473
14.008606,283.790088,684.511350,0.364344,-2.413512,0.000990,-0.157074,-0.000203,-0.000011,0.000006,-7.810781,7.810781,0.000007,0.000021,-0.000202
14.429483,283.476142,684.231036,0.363901,-2.413598,0.000985,-0.157072,0.001451,-0.000155,0.000033,-7.810095,7.810095,0.000032,-0.000380,0.001409
14.847934,283.164008,683.952337,0.363461,-2.412991,0.000920,-0.157058,0.003010,-0.000282,0.000007,-7.809408,7.809408,0.000004,-0.000749,0.002929
15.259103,282.857597,683.678161,0.363039,-2.411753,0.000804,-0.157055,0.000139,0.000007,-0.000005,-7.808441,7.808441,-0.000005,-0.000015,0.000139
15.677553,282.546145,683.398702,0.362654,-2.411695,0.000807,-0.157057,-0.000193,-0.000011,0.000007,-7.807217,7.807217,0.000007,0.000019,-0.000192
16.098429,282.232882,683.117626,0.362268,-2.411776,0.000803,-0.157054,0.001976,-0.000529,0.000046,-7.805993,7.805993,0.000045,-0.000832,0.001869
16.516879,281.921430,682.838167,0.361883,-2.410949,0.000581,-0.157035,0.000973,-0.000133,-0.000006,-7.804769,7.804769,-0.000006,-0.000283,0.000940
16.932900,281.612196,682.559873,0.361571,-2.410545,0.000526,-0.157037,0.000130,0.000005,-0.000006,-7.803111,7.803111,-0.000006,-0.000015,0.000130
17.351347,281.301257,682.279846,0.361282,-2.410490,0.000528,-0.157040,-0.000031,-0.000198,0.000011,-7.801353,7.801353,0.000011,-0.000191,-0.000062
17.772222,280.988507,681.998202,0.360993,-2.410503,0.000445,-0.157035,0.000846,-0.000793,0.000035,-7.799595,7.799595,0.000035,-0.000915,0.000712
18.193096,280.675798,681.716515,0.360734,-2.410147,0.000111,-0.157020,-0.000177,-0.000001,0.000008,-7.797757,7.797757,0.000008,0.000026,-0.000175
18.613968,280.363325,681.434568,0.360599,-2.410222,0.000111,-0.157017,0.000120,-0.000000,-0.000006,-7.795491,7.795491,-0.000006,-0.000019,0.000119
19.032413,280.052663,681.154237,0.360462,-2.410171,0.000111,-0.157020,0.000924,-0.000460,0.000037,-7.793224,7.793224,0.000037,-0.000599,0.000841
19.453285,279.740190,680.872291,0.360328,-2.409782,-0.000083,-0.157004,0.003104,-0.000280,-0.000079,-7.790957,7.790957,-0.000079,-0.000762,0.003022
19.854745,279.442378,680.603074,0.360259,-2.408536,-0.000195,-0.157036,0.000132,0.000009,-0.000006,-7.789032,7.789032,-0.000006,-0.000011,0.000132
20.273193,279.132004,680.322420,0.360272,-2.408481,-0.000191,-0.157038,-0.000035,0.000019,0.000012,-7.787317,7.787317,0.000012,0.000024,-0.000031
20.694067,278.819824,680.040145,0.360285,-2.408495,-0.000183,-0.157033,0.003340,-0.000718,-0.000032,-7.785600,7.785600,-0.000031,-0.001231,0.003187
21.100381,278.518485,679.767591,0.360290,-2.407138,-0.000475,-0.157046,0.001526,-0.000009,-0.000053,-7.783898,7.783898,-0.000052,-0.000247,0.001506
21.509124,278.215609,679.493116,0.360426,-2.406514,-0.000479,-0.157068,-0.000194,-0.000012,0.000007,-7.782967,7.782967,0.000007,0.000018,-0.000194
21.930001,277.903700,679.210537,0.360594,-2.406596,-0.000484,-0.157065,0.000715,-0.000197,0.000010,-7.782079,7.782079,0.000011,-0.000306,0.000675
22.348452,277.593594,678.929583,0.360760,-2.406297,-0.000566,-0.157061,0.003753,-0.000592,-0.000088,-7.781191,7.781191,-0.000086,-0.001171,0.003614
22.747488,277.297996,678.661532,0.360945,-2.404799,-0.000802,-0.157096,0.000158,0.000018,-0.000005,-7.780569,7.780569,-0.000005,-0.000007,0.000159
23.165939,276.988103,678.380341,0.361279,-2.404733,-0.000795,-0.157098,-0.000211,-0.000022,0.000007,-7.780531,7.780531,0.000007,0.000011,-0.000212
23.586817,276.676412,678.097521,0.361613,-2.404822,-0.000804,-0.157095,0.001590,-0.000452,0.000035,-7.780495,7.780495,0.000036,-0.000695,0.001499
24.005269,276.366519,677.816332,0.361945,-2.404157,-0.000993,-0.157080,0.003973,-0.000044,-0.000079,-7.780457,7.780457,-0.000075,-0.000665,0.003918
24.404306,276.071314,677.547846,0.362323,-2.402571,-0.001011,-0.157112,-0.000220,-0.000019,0.000007,-7.780740,7.780740,0.000006,0.000016,-0.000220
24.825183,275.760100,677.264504,0.362764,-2.402664,-0.001019,-0.157109,0.000220,-0.000012,-0.000004,-7.781096,7.781096,-0.000003,-0.000046,0.000215
25.243635,275.450676,676.982797,0.363203,-2.402572,-0.001024,-0.157110,0.006301,-0.000214,-0.000015,-7.781452,7.781452,-0.000008,-0.001197,0.006190
25.642671,275.155622,676.714146,0.363625,-2.400058,-0.001109,-0.157116,0.000333,-0.000024,0.000004,-7.781870,7.781870,0.000004,-0.000076,0.000325
26.061122,274.846878,676.431697,0.364109,-2.399918,-0.001119,-0.157115,-0.000219,-0.000015,0.000007,-7.782373,7.782373,0.000006,0.000019,-0.000218
26.482000,274.536383,676.147565,0.364599,-2.400011,-0.001126,-0.157112,0.001482,-0.000083,0.000034,-7.782819,7.782819,0.000035,-0.000314,0.001451
26.900451,274.227677,675.865073,0.365087,-2.399390,-0.001160,-0.157098,0.007991,0.000211,-0.000063,-7.783265,7.783265,-0.000054,-0.001042,0.007926
27.289780,273.940742,675.601928,0.365539,-2.396279,-0.001078,-0.157122,0.000171,0.000013,-0.000005,-7.783955,7.783955,-0.000005,-0.000014,0.000171
27.708230,273.633003,675.318384,0.366017,-2.396207,-0.001073,-0.157124,-0.000222,-0.000017,0.000006,-7.784652,7.784652,0.000006,0.000018,-0.000222
28.129108,273.323482,675.033193,0.366497,-2.396301,-0.001080,-0.157122,0.003369,-0.000076,0.000090,-7.785349,7.785349,0.000094,-0.000602,0.003316
28.547559,273.015742,674.749648,0.366976,-2.394891,-0.001112,-0.157084,0.007248,0.000437,-0.000111,-7.786046,7.786046,-0.000103,-0.000702,0.007227
28.934460,272.731904,674.486726,0.367391,-2.392087,-0.000943,-0.157127,-0.000221,-0.000016,0.000007,-7.786942,7.786942,0.000006,0.000019,-0.000221
29.355337,272.423547,674.200277,0.367819,-2.392180,-0.000949,-0.157124,0.000033,-0.000027,-0.000009,-7.787694,7.787694,-0.000009,-0.000032,0.000028
29.773788,272.116964,673.915483,0.368244,-2.392166,-0.000961,-0.157128,0.010533,0.000438,0.000012,-7.788445,7.788445,0.000022,-0.001215,0.010472
30.163117,271.831689,673.650539,0.368647,-2.388066,-0.000790,-0.157123,0.000393,0.000023,0.000005,-7.789266,7.789266,0.000005,-0.000039,0.000392
30.581568,271.526305,673.364460,0.369003,-2.387901,-0.000780,-0.157121,-0.000221,-0.000019,0.000006,-7.789908,7.789908,0.000006,0.000016,-0.000221
31.002446,271.219205,673.076662,0.369355,-2.387994,-0.000788,-0.157119,0.001863,0.000016,0.000047,-7.790471,7.790471,0.000048,-0.000276,0.001843
31.420896,270.913874,672.790526,0.369707,-2.387214,-0.000781,-0.157099,0.009809,0.000564,-0.000033,-7.791035,7.791035,-0.000026,-0.000977,0.009777
31.807798,270.631938,672.525562,0.370009,-2.383419,-0.000563,-0.157112,0.000164,0.000018,-0.000005,-7.791666,7.791666,-0.000005,-0.000008,0.000165
32.226249,270.327988,672.237960,0.370258,-2.383350,-0.000556,-0.157114,-0.000217,-0.000021,0.000007,-7.792046,7.792046,0.000007,0.000013,-0.000217
32.647128,270.022274,671.948689,0.370507,-2.383442,-0.000565,-0.157111,0.003932,0.000074,0.000111,-7.792425,7.792425,0.000113,-0.000542,0.003896
33.065579,269.718323,671.661087,0.370757,-2.381796,-0.000534,-0.157065,0.008001,0.000531,-0.000116,-7.792805,7.792805,-0.000112,-0.000727,0.007986
33.450053,269.439883,671.395960,0.370928,-2.378720,-0.000330,-0.157110,-0.000215,-0.000016,0.000007,-7.793183,7.793183,0.000006,0.000018,-0.000215
33.870932,269.135560,671.105227,0.371077,-2.378810,-0.000336,-0.157107,0.000130,0.000006,-0.000006,-7.793432,7.793432,-0.000006,-0.000014,0.000130
34.289383,268.832991,670.816171,0.371225,-2.378756,-0.000334,-0.157110,0.007905,0.000154,0.000065,-7.793680,7.793680,0.000067,-0.001085,0.007831
34.690846,268.542698,670.538858,0.371369,-2.375582,-0.000272,-0.157084,0.002203,0.000165,-0.000062,-7.793949,7.793949,-0.000061,-0.000182,0.002202
35.097163,268.250021,670.257018,0.371462,-2.374687,-0.000205,-0.157109,0.000165,0.000012,-0.000005,-7.794193,7.794193,-0.000005,-0.000014,0.000165
35.515615,267.948632,669.966730,0.371556,-2.374618,-0.000200,-0.157111,0.001265,-0.000044,0.000053,-7.794418,7.794418,0.000053,-0.000241,0.001243
35.936493,267.645498,669.674758,0.371651,-2.374086,-0.000218,-0.157088,0.008177,0.000306,-0.000030,-7.794642,7.794642,-0.000029,-0.000977,0.008125
36.328249,267.363674,669.402641,0.371725,-2.370882,-0.000098,-0.157100,-0.000211,-0.000018,0.000007,-7.794801,7.794801,0.000007,0.000015,-0.000211
36.749127,267.061727,669.109440,0.371767,-2.370971,-0.000106,-0.157097,0.000160,0.000014,-0.000005,-7.794743,7.794743,-0.000005,-0.000011,0.000161
37.167578,266.761523,668.817930,0.371808,-2.370904,-0.000100,-0.157100,0.002640,-0.000189,0.000095,-7.794685,7.794685,0.000096,-0.000600,0.002578
37.588456,266.459576,668.524729,0.371850,-2.369792,-0.000180,-0.157060,0.003441,0.000089,-0.000023,-7.794627,7.794627,-0.000022,-0.000450,0.003412
37.994772,266.168750,668.240980,0.371882,-2.368394,-0.000143,-0.157069,-0.000199,-0.000013,0.000007,-7.794049,7.794049,0.000007,0.000018,-0.000198
38.415649,265.867823,667.946735,0.371910,-2.368478,-0.000149,-0.157066,0.000151,-0.000090,-0.000006,-7.793167,7.793167,-0.000006,-0.000112,0.000135
38.834100,265.568635,667.654182,0.371937,-2.368415,-0.000186,-0.157068,0.002481,-0.000514,0.000093,-7.792286,7.792286,0.000094,-0.000896,0.002370
39.254977,265.267708,667.359936,0.371983,-2.367371,-0.000403,-0.157029,-0.000181,-0.000014,0.000008,-7.791400,7.791400,0.000008,0.000015,-0.000181
39.675851,264.967437,667.065026,0.372080,-2.367447,-0.000409,-0.157026,0.000158,0.000015,-0.000005,-7.789553,7.789553,-0.000005,-0.000010,0.000159
40.094298,264.668906,666.771808,0.372176,-2.367381,-0.000402,-0.157028,0.001909,-0.000145,0.000048,-7.787705,7.787705,0.000049,-0.000442,0.001863
40.512746,264.370374,666.478589,0.372272,-2.366582,-0.000463,-0.157008,0.004377,-0.000049,-0.000017,-7.785858,7.785858,-0.000015,-0.000733,0.004315
40.916632,264.082640,666.195158,0.372368,-2.364814,-0.000483,-0.157014,-0.000178,-0.000004,0.000008,-7.783981,7.783981,0.000008,0.000024,-0.000176
41.337504,263.783251,665.899354,0.372485,-2.364889,-0.000484,-0.157011,0.000192,0.000017,-0.000004,-7.781753,7.781753,-0.000004,-0.000013,0.000193
41.755950,263.485597,665.605248,0.372598,-2.364808,-0.000477,-0.157013,0.004010,-0.000177,0.000089,-7.779525,7.779525,0.000090,-0.000802,0.003932
42.171968,263.189678,665.312838,0.372710,-2.363140,-0.000551,-0.156976,0.004238,0.000140,-0.000126,-7.777297,7.777297,-0.000124,-0.000524,0.004207
42.566148,262.910088,665.034977,0.372807,-2.361470,-0.000495,-0.157025,-0.000184,-0.000015,0.000008,-7.775472,7.775472,0.000008,0.000014,-0.000184
42.987022,262.611584,664.738277,0.372941,-2.361547,-0.000502,-0.157022,0.001171,0.000102,0.000027,-7.773545,7.773545,0.000028,-0.000082,0.001173
43.405468,262.314810,664.443282,0.373074,-2.361057,-0.000459,-0.157011,0.008038,-0.000129,-0.000094,-7.771619,7.771619,-0.000091,-0.001384,0.007919
43.792368,262.040640,664.170294,0.373169,-2.357947,-0.000509,-0.157047,0.000141,0.000005,-0.000006,-7.769923,7.769923,-0.000006,-0.000017,0.000140
44.210817,261.744700,663.874458,0.373329,-2.357888,-0.000507,-0.157050,-0.000192,-0.000010,0.000008,-7.768651,7.768651,0.000008,0.000021,-0.000191
44.631693,261.447037,663.576912,0.373493,-2.357969,-0.000511,-0.157046,0.002508,-0.000027,0.000068,-7.767378,7.767378,0.000070,-0.000419,0.002473
45.050143,261.151096,663.281076,0.373654,-2.356920,-0.000522,-0.157018,0.007040,0.000192,-0.000096,-7.766106,7.766106,-0.000093,-0.000911,0.006983
45.439471,260.876288,663.005291,0.373780,-2.354179,-0.000447,-0.157055,-0.000194,-0.000014,0.000008,-7.765039,7.765039,0.000008,0.000016,-0.000193
45.860347,260.579682,662.706692,0.373924,-2.354260,-0.000453,-0.157052,0.000161,0.000013,-0.000005,-7.763899,7.763899,-0.000005,-0.000013,0.000161
46.278797,260.284790,662.409809,0.374067,-2.354193,-0.000448,-0.157054,0.004550,0.000017,0.000134,-7.762759,7.762759,0.000136,-0.000695,0.004496
46.697246,259.989899,662.112927,0.374210,-2.352289,-0.000441,-0.156998,0.005981,0.000345,-0.000158,-7.761619,7.761619,-0.000155,-0.000595,0.005962
