s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,298.222902,689.099225,-0.567432,-2.443074,0.001817,-0.157101,0.002169,-0.000046,-0.000014,-13.797831,1.691379,-0.000018,-0.000385,0.002135
1.975627,296.711319,687.827138,-0.571185,-2.438789,0.001726,-0.157128,0.002172,-0.000074,-0.000004,-13.826326,1.716093,-0.000008,-0.000413,0.002133
3.951642,295.204905,686.548335,-0.574759,-2.434498,0.001580,-0.157137,0.002172,-0.000088,0.000005,-13.843924,1.738299,0.000001,-0.000427,0.002131
5.928004,293.703728,685.262854,-0.578045,-2.430205,0.001407,-0.157127,0.002170,-0.000086,0.000012,-13.853093,1.753824,0.000009,-0.000425,0.002129
7.904667,292.207852,683.970745,-0.580989,-2.425917,0.001236,-0.157103,0.002167,-0.000089,0.000014,-13.856769,1.764427,0.000011,-0.000427,0.002127
9.881573,290.717347,682.672074,-0.583597,-2.421632,0.001060,-0.157076,0.002165,-0.000088,0.000014,-13.856381,1.770354,0.000011,-0.000426,0.002124
11.858669,289.232276,681.366905,-0.585856,-2.417352,0.000886,-0.157048,0.002161,-0.000086,0.000011,-13.853173,1.772099,0.000009,-0.000423,0.002121
13.835887,287.752710,680.055313,-0.587771,-2.413078,0.000717,-0.157026,0.002158,-0.000081,0.000007,-13.849602,1.772318,0.000006,-0.000418,0.002119
15.813154,286.278725,678.737379,-0.589351,-2.408811,0.000556,-0.157012,0.002153,-0.000072,0.000002,-13.844005,1.769019,0.000001,-0.000408,0.002116
17.790400,284.810391,677.413184,-0.590614,-2.404554,0.000414,-0.157009,0.002148,-0.000057,-0.000004,-13.838184,1.759128,-0.000004,-0.000393,0.002113
19.767530,283.347792,676.082828,-0.591594,-2.400307,0.000300,-0.157016,0.002142,-0.000045,-0.000009,-13.835231,1.740941,-0.000009,-0.000380,0.002109
21.744474,281.890989,674.746402,-0.592349,-2.396072,0.000210,-0.157033,0.002136,-0.000031,-0.000011,-13.841943,1.720897,-0.000011,-0.000365,0.002105
23.721150,280.440054,673.404004,-0.592926,-2.391850,0.000149,-0.157054,0.002128,-0.000007,-0.000009,-13.860748,1.700093,-0.000009,-0.000340,0.002101
25.697501,278.995033,672.055715,-0.593383,-2.387643,0.000135,-0.157071,0.002122,0.000011,-0.000006,-13.887006,1.677689,-0.000006,-0.000321,0.002097
27.673495,277.555955,670.701609,-0.593811,-2.383451,0.000158,-0.157082,0.002114,0.000031,-0.000001,-13.915176,1.655263,-0.000001,-0.000300,0.002093
29.649114,276.122835,669.341743,-0.594285,-2.379274,0.000219,-0.157084,0.002109,0.000037,0.000003,-13.942842,1.635524,0.000002,-0.000293,0.002089
31.624350,274.695680,667.976170,-0.594878,-2.375108,0.000292,-0.157079,0.002104,0.000037,0.000006,-13.965969,1.618147,0.000006,-0.000292,0.002084
33.599230,273.274480,666.604915,-0.595615,-2.370953,0.000366,-0.157066,0.002100,0.000032,0.000009,-13.983278,1.603994,0.000008,-0.000297,0.002080
35.573769,271.859232,665.228008,-0.596497,-2.366805,0.000429,-0.157049,0.002097,0.000024,0.000010,-13.996749,1.592817,0.000009,-0.000305,0.002074
