s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.492522,46.294998,-3.292619,3.131344,-0.001011,0.010582,-0.000420,-0.000009,-0.000014,-5.382250,5.382250,-0.000014,-0.000014,-0.000420
1.054112,-105.546577,46.305820,-3.291553,3.130901,-0.001021,0.010568,0.000122,-0.000016,-0.000102,-5.381914,5.381914,-0.000102,-0.000014,0.000122
2.101996,-106.594405,46.316653,-3.290482,3.131029,-0.001037,0.010460,0.000126,-0.000011,-0.000151,-5.381804,5.381804,-0.000151,-0.000010,0.000126
3.149880,-107.642232,46.327573,-3.289394,3.131161,-0.001049,0.010302,0.000164,-0.000020,-0.000200,-5.381710,5.381710,-0.000199,-0.000018,0.000164
4.197764,-108.690057,46.338574,-3.288296,3.131333,-0.001069,0.010093,-0.000460,-0.000009,-0.000290,-5.381611,5.381611,-0.000290,-0.000014,-0.000460
5.251874,-109.744108,46.349636,-3.287170,3.130848,-0.001079,0.009787,0.000134,-0.000008,-0.000317,-5.381502,5.381502,-0.000317,-0.000006,0.000134
6.299757,-110.791932,46.360793,-3.286038,3.130988,-0.001087,0.009455,0.000225,0.000012,-0.000336,-5.381445,5.381445,-0.000335,0.000014,0.000225
7.347640,-111.839754,46.372013,-3.284899,3.131224,-0.001075,0.009103,-0.000446,-0.000002,-0.000344,-5.381461,5.381461,-0.000345,-0.000006,-0.000446
8.401750,-112.893804,46.383161,-3.283767,3.130754,-0.001077,0.008740,0.000116,0.000010,-0.000297,-5.381611,5.381611,-0.000297,0.000011,0.000116
9.449633,-113.941626,46.394371,-3.282637,3.130876,-0.001067,0.008429,0.000111,0.000011,-0.000278,-5.381887,5.381887,-0.000278,0.000012,0.000111
10.497516,-114.989448,46.405684,-3.281519,3.130992,-0.001055,0.008137,-0.000349,-0.000015,-0.000270,-5.382205,5.382205,-0.000270,-0.000018,-0.000349
11.551626,-116.043495,46.417178,-3.280409,3.130624,-0.001071,0.007853,0.000163,-0.000014,-0.000289,-5.382528,5.382528,-0.000289,-0.000013,0.000163
12.599510,-117.091317,46.428519,-3.279286,3.130795,-0.001085,0.007550,0.000160,-0.000016,-0.000304,-5.383086,5.383086,-0.000304,-0.000015,0.000160
13.647393,-118.139138,46.439858,-3.278150,3.130962,-0.001102,0.007231,0.000126,-0.000010,-0.000320,-5.383666,5.383666,-0.000320,-0.000009,0.000126
14.695276,-119.186959,46.451204,-3.276995,3.131094,-0.001112,0.006896,-0.000339,-0.000021,-0.000343,-5.384240,5.384240,-0.000343,-0.000023,-0.000338
15.749385,-120.241005,46.462697,-3.275824,3.130738,-0.001134,0.006535,0.000206,-0.000015,-0.000361,-5.384734,5.384734,-0.000361,-0.000014,0.000206
16.797267,-121.288825,46.474014,-3.274636,3.130953,-0.001150,0.006156,0.000223,-0.000013,-0.000373,-5.385342,5.385342,-0.000373,-0.000012,0.000223
17.845150,-122.336647,46.485237,-3.273431,3.131186,-0.001164,0.005765,0.000223,-0.000000,-0.000378,-5.386049,5.386049,-0.000378,0.000001,0.000223
18.893032,-123.384469,46.496327,-3.272212,3.131420,-0.001164,0.005369,0.000206,0.000009,-0.000389,-5.386888,5.386888,-0.000389,0.000010,0.000206
19.940914,-124.432293,46.507283,-3.270993,3.131636,-0.001155,0.004961,0.000213,0.000017,-0.000398,-5.387860,5.387860,-0.000397,0.000018,0.000213
