s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.458769,50.169162,-3.333967,3.136919,-0.001519,0.010576,0.000173,-0.000137,-0.000123,-1.507679,9.256920,-0.000123,-0.000135,0.000174
2.000196,-106.458941,50.178336,-3.330928,3.137264,-0.001792,0.010330,0.000172,-0.000118,-0.000178,-1.518697,9.245068,-0.000178,-0.000117,0.000173
4.000422,-108.459146,50.186822,-3.327343,3.137607,-0.002029,0.009973,0.000171,-0.000094,-0.000228,-1.530967,9.232531,-0.000227,-0.000092,0.000172
6.000685,-110.459390,50.194620,-3.323283,3.137949,-0.002216,0.009518,0.000169,-0.000064,-0.000268,-1.544119,9.219006,-0.000268,-0.000062,0.000170
8.000988,-112.459675,50.201737,-3.318849,3.138288,-0.002344,0.008981,0.000166,-0.000043,-0.000297,-1.558437,9.204881,-0.000297,-0.000041,0.000167
10.001339,-114.460011,50.208180,-3.314160,3.138620,-0.002430,0.008386,0.000162,-0.000029,-0.000319,-1.573894,9.190464,-0.000319,-0.000027,0.000162
12.001744,-116.460402,50.213961,-3.309299,3.138944,-0.002487,0.007748,0.000158,-0.000020,-0.000337,-1.590612,9.175182,-0.000337,-0.000019,0.000158
14.002209,-118.460853,50.219099,-3.304323,3.139261,-0.002528,0.007073,0.000154,-0.000009,-0.000354,-1.608267,9.159828,-0.000353,-0.000008,0.000154
16.002734,-120.461367,50.223607,-3.299265,3.139568,-0.002546,0.006365,0.000148,0.000004,-0.000366,-1.626524,9.143573,-0.000366,0.000005,0.000148
18.003323,-122.461946,50.227507,-3.294171,3.139864,-0.002537,0.005633,0.000142,0.000024,-0.000373,-1.645416,9.127241,-0.000372,0.000024,0.000141
20.003972,-124.462585,50.230822,-3.289094,3.140147,-0.002490,0.004887,0.000136,0.000042,-0.000369,-1.664891,9.111263,-0.000368,0.000042,0.000136
22.004686,-126.463291,50.233575,-3.284112,3.140419,-0.002407,0.004149,0.000128,0.000054,-0.000353,-1.684929,9.095562,-0.000353,0.000054,0.000128
24.005458,-128.464056,50.235793,-3.279296,3.140676,-0.002299,0.003442,0.000121,0.000057,-0.000328,-1.705188,9.080456,-0.000328,0.000057,0.000121
26.006286,-130.464878,50.237503,-3.274695,3.140919,-0.002186,0.002785,0.000114,0.000049,-0.000295,-1.725335,9.066107,-0.000295,0.000049,0.000113
28.007170,-132.465757,50.238733,-3.270322,3.141146,-0.002088,0.002195,0.000105,0.000030,-0.000259,-1.745537,9.051737,-0.000259,0.000030,0.000105
30.008097,-134.466680,50.239518,-3.266143,3.141357,-0.002029,0.001675,0.000097,0.000016,-0.000224,-1.765578,9.037430,-0.000224,0.000016,0.000097
32.009066,-136.467645,50.239890,-3.262084,3.141551,-0.001996,0.001227,0.000088,0.000009,-0.000185,-1.785214,9.024227,-0.000185,0.000009,0.000088
34.010069,-138.468644,50.239879,-3.258090,-3.141457,-0.001979,0.000857,0.000080,0.000005,-0.000137,-1.805286,9.011398,-0.000136,0.000006,0.000080
36.011096,-140.469667,50.239525,-3.254131,-3.141297,-0.001968,0.000584,0.000071,-0.000006,-0.000076,-1.825202,8.999030,-0.000076,-0.000006,0.000071
38.012141,-142.470707,50.238860,-3.250193,-3.141156,-0.001981,0.000432,0.000062,-0.000036,-0.000007,-1.844574,8.987632,-0.000007,-0.000036,0.000062
40.013197,-144.471759,50.237921,-3.246229,-3.141031,-0.002053,0.000418,0.000053,-0.000080,0.000060,-1.863801,8.975396,0.000060,-0.000080,0.000053
42.014257,-146.472814,50.236740,-3.242121,-3.140925,-0.002213,0.000538,0.000044,-0.000123,0.000115,-1.882726,8.963265,0.000115,-0.000123,0.000044
44.015306,-148.473859,50.235357,-3.237693,-3.140837,-0.002460,0.000768,0.000034,-0.000161,0.000159,-1.901105,8.952119,0.000160,-0.000161,0.000035
46.016340,-150.474885,50.233806,-3.232770,-3.140768,-0.002782,0.001087,0.000025,-0.000182,0.000194,-1.919081,8.941772,0.000194,-0.000182,0.000025
48.017352,-152.475889,50.232127,-3.227204,-3.140719,-0.003146,0.001476,0.000016,-0.000198,0.000227,-1.937037,8.932803,0.000227,-0.000198,0.000016
50.018331,-154.476858,50.230358,-3.220910,-3.140687,-0.003542,0.001929,0.000006,-0.000216,0.000258,-1.954152,8.924097,0.000258,-0.000216,0.000007
52.019269,-156.477782,50.228535,-3.213822,-3.140674,-0.003973,0.002445,-0.000003,-0.000234,0.000286,-1.970677,8.914891,0.000286,-0.000234,-0.000002
54.020161,-158.478658,50.226695,-3.205872,-3.140680,-0.004442,0.003017,-0.000013,-0.000254,0.000307,-1.986761,8.905813,0.000307,-0.000254,-0.000012
56.020996,-160.479472,50.224877,-3.196984,-3.140706,-0.004951,0.003632,-0.000022,-0.000274,0.000320,-2.002119,8.897203,0.000320,-0.000274,-0.000021
58.021767,-162.480218,50.223121,-3.187078,-3.140751,-0.005499,0.004271,-0.000032,-0.000287,0.000324,-2.016744,8.889758,0.000324,-0.000288,-0.000030
60.022471,-164.480891,50.221462,-3.176078,-3.140814,-0.006074,0.004920,-0.000041,-0.000299,0.000324,-2.030717,8.882994,0.000324,-0.000299,-0.000039
62.023099,-166.481481,50.219940,-3.163927,-3.140895,-0.006671,0.005568,-0.000050,-0.000308,0.000321,-2.043749,8.876828,0.000321,-0.000308,-0.000049
64.023641,-168.481978,50.218591,-3.150581,-3.140996,-0.007287,0.006211,-0.000059,-0.000319,0.000316,-2.056747,8.870597,0.000316,-0.000319,-0.000057
66.024100,-170.482384,50.217451,-3.136003,-3.141114,-0.007926,0.006843,-0.000068,-0.000333,0.000309,-2.069358,8.864352,0.000309,-0.000334,-0.000066
68.024469,-172.482690,50.216556,-3.120149,-3.141250,-0.008593,0.007462,-0.000077,-0.000356,0.000299,-2.080688,8.857592,0.000298,-0.000356,-0.000075
70.024744,-174.482891,50.215942,-3.102962,-3.141405,-0.009304,0.008060,-0.000086,-0.000377,0.000281,-2.092814,8.850215,0.000280,-0.000378,-0.000083
72.024922,-176.482982,50.215646,-3.084352,-3.141577,-0.010059,0.008622,-0.000095,-0.000395,0.000255,-2.103456,8.841945,0.000254,-0.000396,-0.000091
74.025004,-178.482963,50.215703,-3.064234,3.141419,-0.010849,0.009132,-0.000103,-0.000399,0.000222,-2.110932,8.833096,0.000221,-0.000400,-0.000099
76.024984,-180.482825,50.216146,-3.042537,3.141213,-0.011648,0.009577,-0.000111,-0.000394,0.000187,-2.114746,8.824299,0.000185,-0.000395,-0.000107
78.024863,-182.482569,50.217009,-3.019244,3.140991,-0.012435,0.009951,-0.000119,-0.000386,0.000150,-2.114797,8.815431,0.000149,-0.000388,-0.000115
80.024640,-184.482191,50.218322,-2.994378,3.140754,-0.013208,0.010251,-0.000126,-0.000377,0.000109,-2.111361,8.806452,0.000108,-0.000378,-0.000122
82.024319,-186.481694,50.220118,-2.967968,3.140503,-0.013962,0.010470,-0.000134,-0.000361,0.000060,-2.106082,8.797982,0.000058,-0.000362,-0.000130
84.023894,-188.481073,50.222425,-2.940052,3.140235,-0.014684,0.010590,-0.000140,-0.000324,0.000000,-2.100300,8.789788,-0.000002,-0.000326,-0.000137
86.023381,-190.480342,50.225271,-2.910694,3.139955,-0.015332,0.010590,-0.000146,-0.000258,-0.000063,-2.094260,8.781733,-0.000065,-0.000259,-0.000144
88.022775,-192.479499,50.228686,-2.880041,3.139663,-0.015847,0.010464,-0.000152,-0.000155,-0.000116,-2.089016,8.774084,-0.000118,-0.000157,-0.000150
90.022088,-194.478556,50.232691,-2.848359,3.139360,-0.016157,0.010232,-0.000157,-0.000032,-0.000140,-2.085957,8.766566,-0.000143,-0.000034,-0.000156
92.021328,-196.477530,50.237308,-2.816059,3.139046,-0.016221,0.009952,-0.000162,0.000097,-0.000121,-2.083995,8.759279,-0.000124,0.000095,-0.000163
94.020502,-198.476434,50.242558,-2.783632,3.138722,-0.016028,0.009710,-0.000168,0.000199,-0.000050,-2.079049,8.752600,-0.000053,0.000198,-0.000169
96.019624,-200.475291,50.248463,-2.751593,3.138387,-0.015629,0.009610,-0.000173,0.000245,0.000066,-2.074369,8.746443,0.000064,0.000243,-0.000175
98.018704,-202.474116,50.255044,-2.720350,3.138042,-0.015140,0.009742,-0.000179,0.000216,0.000206,-2.075473,8.740876,0.000204,0.000215,-0.000181
100.017758,-204.472928,50.262319,-2.690086,3.137684,-0.014707,0.010155,-0.000186,0.000115,0.000339,-2.084370,8.735614,0.000336,0.000113,-0.000187
102.016799,-206.471737,50.270315,-2.660688,3.137313,-0.014478,0.010832,-0.000192,-0.000034,0.000431,-2.100346,8.731395,0.000428,-0.000036,-0.000192
104.015841,-208.470550,50.279059,-2.631747,3.136929,-0.014545,0.011695,-0.000200,-0.000200,0.000464,-2.119624,8.727694,0.000461,-0.000202,-0.000198
106.014892,-210.469367,50.288575,-2.602672,3.136530,-0.014944,0.012621,-0.000207,-0.000342,0.000429,-2.140380,8.724514,0.000426,-0.000345,-0.000203
108.013963,-212.468187,50.298895,-2.572800,3.136116,-0.015629,0.013478,-0.000214,-0.000436,0.000339,-2.158275,8.721852,0.000336,-0.000439,-0.000208
110.013063,-214.467013,50.310047,-2.541559,3.135688,-0.016501,0.014156,-0.000219,-0.000466,0.000217,-2.168494,8.720039,0.000213,-0.000469,-0.000213
112.012205,-216.465846,50.322060,-2.508574,3.135249,-0.017432,0.014590,-0.000224,-0.000433,0.000093,-2.163619,8.719303,0.000089,-0.000437,-0.000218
114.011386,-218.464683,50.334955,-2.473727,3.134802,-0.018298,0.014775,-0.000228,-0.000365,-0.000009,-2.146182,8.719466,-0.000013,-0.000368,-0.000222
116.010621,-220.463535,50.348749,-2.437148,3.134346,-0.019027,0.014758,-0.000230,-0.000287,-0.000074,-2.126016,8.720484,-0.000079,-0.000290,-0.000226
118.009923,-222.462421,50.363457,-2.399111,3.133886,-0.019601,0.014610,-0.000234,-0.000216,-0.000107,-2.113030,8.722065,-0.000112,-0.000219,-0.000231
120.009294,-224.461347,50.379092,-2.359926,3.133418,-0.020032,0.014396,-0.000237,-0.000156,-0.000116,-2.107602,8.723867,-0.000121,-0.000160,-0.000235
122.008754,-226.460337,50.395667,-2.319877,3.132943,-0.020344,0.014164,-0.000241,-0.000108,-0.000111,-2.104774,8.726959,-0.000116,-0.000112,-0.000239
124.008315,-228.459407,50.413195,-2.279203,3.132462,-0.020560,0.013942,-0.000243,-0.000071,-0.000099,-2.101018,8.731017,-0.000104,-0.000075,-0.000242
126.007991,-230.458575,50.431689,-2.238093,3.131975,-0.020703,0.013743,-0.000247,-0.000040,-0.000087,-2.096289,8.736735,-0.000092,-0.000043,-0.000246
128.007792,-232.457853,50.451162,-2.196696,3.131481,-0.020783,0.013569,-0.000251,-0.000016,-0.000074,-2.093807,8.743255,-0.000080,-0.000019,-0.000250
130.007733,-234.457257,50.471627,-2.155137,3.130980,-0.020814,0.013420,-0.000253,0.000002,-0.000062,-2.091367,8.750103,-0.000068,-0.000001,-0.000253
132.007829,-236.456805,50.493100,-2.113512,3.130474,-0.020810,0.013295,-0.000256,0.000016,-0.000051,-2.089019,8.757415,-0.000057,0.000012,-0.000256
134.008092,-238.456508,50.515589,-2.071892,3.129963,-0.020779,0.013193,-0.000259,0.000019,-0.000040,-2.087310,8.765989,-0.000045,0.000016,-0.000259
136.008526,-240.456372,50.539106,-2.030330,3.129445,-0.020740,0.013113,-0.000261,0.000018,-0.000031,-2.084727,8.776534,-0.000036,0.000014,-0.000261
