s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,298.192356,689.103075,-0.565682,-2.444467,0.001604,-0.157230,0.002181,0.000040,0.000009,-13.775006,1.715137,0.000005,-0.000302,0.002160
1.998771,296.662720,687.816499,-0.568944,-2.440110,0.001648,-0.157216,0.002179,0.000004,0.000005,-13.802423,1.740272,0.000002,-0.000337,0.002153
3.997541,295.138701,686.523273,-0.572226,-2.435757,0.001626,-0.157205,0.002177,-0.000026,0.000005,-13.819523,1.763457,0.000001,-0.000367,0.002146
5.996312,293.620324,685.223426,-0.575406,-2.431407,0.001548,-0.157195,0.002176,-0.000052,0.000006,-13.827940,1.779580,0.000003,-0.000391,0.002141
7.995082,292.107614,683.916990,-0.578384,-2.427060,0.001426,-0.157182,0.002173,-0.000070,0.000007,-13.830905,1.790712,0.000004,-0.000410,0.002136
9.993853,290.600593,682.603994,-0.581086,-2.422718,0.001273,-0.157168,0.002171,-0.000083,0.000007,-13.829759,1.796998,0.000004,-0.000421,0.002131
11.992623,289.099284,681.284470,-0.583461,-2.418381,0.001102,-0.157156,0.002169,-0.000088,0.000005,-13.825942,1.799161,0.000003,-0.000427,0.002128
13.991394,287.603708,679.958452,-0.585488,-2.414050,0.000926,-0.157149,0.002166,-0.000088,0.000002,-13.821709,1.799727,-0.000000,-0.000426,0.002125
15.990164,286.113885,678.625972,-0.587166,-2.409725,0.000755,-0.157150,0.002162,-0.000082,-0.000002,-13.815452,1.796454,-0.000004,-0.000420,0.002123
17.988935,284.629835,677.287066,-0.588518,-2.405406,0.000601,-0.157160,0.002159,-0.000072,-0.000007,-13.809182,1.786066,-0.000008,-0.000409,0.002121
19.987706,283.151575,675.941769,-0.589584,-2.401096,0.000470,-0.157178,0.002155,-0.000059,-0.000011,-13.806474,1.767632,-0.000012,-0.000395,0.002119
21.986476,281.679122,674.590118,-0.590416,-2.396793,0.000368,-0.157201,0.002150,-0.000043,-0.000013,-13.814294,1.747726,-0.000014,-0.000379,0.002117
23.985247,280.212493,673.232150,-0.591075,-2.392500,0.000297,-0.157227,0.002146,-0.000027,-0.000013,-13.834256,1.726879,-0.000013,-0.000363,0.002115
25.984017,278.751701,671.867906,-0.591626,-2.388215,0.000259,-0.157249,0.002141,-0.000011,-0.000010,-13.861008,1.704390,-0.000010,-0.000346,0.002113
27.982788,277.296760,670.497422,-0.592131,-2.383941,0.000251,-0.157263,0.002136,0.000003,-0.000005,-13.889314,1.682290,-0.000005,-0.000332,0.002110
29.981558,275.847683,669.120740,-0.592646,-2.379677,0.000268,-0.157268,0.002131,0.000015,0.000001,-13.916597,1.662953,0.000000,-0.000319,0.002107
31.980329,274.404482,667.737899,-0.593218,-2.375424,0.000306,-0.157260,0.002125,0.000023,0.000006,-13.938774,1.646039,0.000006,-0.000310,0.002102
33.979099,272.967168,666.348941,-0.593881,-2.371183,0.000358,-0.157244,0.002119,0.000028,0.000011,-13.955342,1.632411,0.000010,-0.000304,0.002098
