s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,294.357465,693.704174,0.385130,-2.443576,0.001873,-0.157131,0.002027,0.000003,-0.000017,-7.710588,7.778622,-0.000021,-0.000314,0.002003
1.999810,292.827975,692.415811,0.381406,-2.439548,0.001837,-0.157159,0.002001,-0.000040,-0.000010,-7.740045,7.802440,-0.000014,-0.000352,0.001970
3.999620,291.303653,691.121337,0.377833,-2.435572,0.001725,-0.157168,0.001975,-0.000072,0.000001,-7.757915,7.824311,-0.000003,-0.000380,0.001940
5.999429,289.784457,689.820850,0.374543,-2.431645,0.001558,-0.157159,0.001952,-0.000095,0.000009,-7.766763,7.840160,0.000006,-0.000400,0.001913
7.999239,288.270350,688.514440,0.371630,-2.427762,0.001350,-0.157136,0.001932,-0.000112,0.000013,-7.769386,7.851843,0.000011,-0.000413,0.001890
9.999049,286.761302,687.202189,0.369161,-2.423916,0.001115,-0.157109,0.001915,-0.000123,0.000014,-7.767118,7.859691,0.000012,-0.000421,0.001872
11.998859,285.257291,685.884168,0.367182,-2.420100,0.000861,-0.157082,0.001902,-0.000131,0.000013,-7.761117,7.864260,0.000011,-0.000427,0.001858
13.998668,283.758306,684.560432,0.365726,-2.416304,0.000595,-0.157060,0.001894,-0.000135,0.000009,-7.753835,7.868257,0.000008,-0.000430,0.001850
15.998478,282.264348,683.231025,0.364805,-2.412518,0.000326,-0.157046,0.001892,-0.000134,0.000005,-7.743539,7.869704,0.000004,-0.000428,0.001847
17.998288,280.775432,681.895974,0.364414,-2.408733,0.000067,-0.157042,0.001894,-0.000125,-0.000001,-7.731987,7.865518,-0.000001,-0.000420,0.001851
19.998098,279.291586,680.555288,0.364519,-2.404936,-0.000166,-0.157049,0.001902,-0.000108,-0.000007,-7.722175,7.853971,-0.000006,-0.000404,0.001862
21.997908,277.812854,679.208965,0.365048,-2.401119,-0.000356,-0.157066,0.001916,-0.000083,-0.000010,-7.721015,7.841468,-0.000010,-0.000381,0.001879
23.997717,276.339293,677.856985,0.365905,-2.397271,-0.000490,-0.157087,0.001933,-0.000052,-0.000010,-7.731216,7.829014,-0.000009,-0.000354,0.001901
25.997527,274.870970,676.499318,0.366969,-2.393384,-0.000563,-0.157104,0.001954,-0.000020,-0.000007,-7.748319,7.815661,-0.000006,-0.000326,0.001927
27.997337,273.407964,675.135922,0.368116,-2.389453,-0.000575,-0.157115,0.001977,0.000008,-0.000003,-7.766828,7.802875,-0.000002,-0.000301,0.001954
29.997147,271.950362,673.766751,0.369236,-2.385474,-0.000538,-0.157117,0.002002,0.000029,0.000001,-7.784530,7.793252,0.000002,-0.000284,0.001982
31.996957,270.498255,672.391755,0.370245,-2.381444,-0.000468,-0.157112,0.002028,0.000040,0.000005,-7.797427,7.786320,0.000006,-0.000277,0.002009
33.996766,269.051735,671.010881,0.371100,-2.377364,-0.000386,-0.157100,0.002053,0.000041,0.000007,-7.804234,7.782824,0.000008,-0.000280,0.002034
35.996576,267.610895,669.624080,0.371794,-2.373234,-0.000310,-0.157083,0.002077,0.000035,0.000009,-7.807123,7.782395,0.000010,-0.000290,0.002057
37.996386,266.175830,668.231306,0.372348,-2.369056,-0.000248,-0.157064,0.002101,0.000026,0.000010,-7.805984,7.782975,0.000010,-0.000303,0.002079
39.996196,264.746628,666.832516,0.372796,-2.364833,-0.000202,-0.157046,0.002123,0.000019,0.000008,-7.799516,7.777741,0.000008,-0.000313,0.002100
41.996005,263.323375,665.427672,0.373165,-2.360568,-0.000167,-0.157035,0.002143,0.000016,0.000003,-7.790048,7.766198,0.000004,-0.000319,0.002119
43.995815,261.906155,664.016744,0.373467,-2.356265,-0.000135,-0.157032,0.002161,0.000016,-0.000000,-7.782298,7.755864,-0.000000,-0.000322,0.002137
45.995625,260.495043,662.599706,0.373706,-2.351929,-0.000103,-0.157035,0.002176,0.000016,-0.000003,-7.778971,7.747931,-0.000003,-0.000324,0.002152
47.995435,259.090109,661.176543,0.373881,-2.347566,-0.000072,-0.157043,0.002188,0.000015,-0.000005,-7.774849,7.742159,-0.000004,-0.000327,0.002163
49.995245,257.691413,659.747249,0.373999,-2.343182,-0.000047,-0.157053,0.002196,0.000011,-0.000006,-7.769521,7.739222,-0.000006,-0.000333,0.002171
51.995054,256.299007,658.311826,0.374076,-2.338784,-0.000033,-0.157068,0.002202,0.000003,-0.000009,-7.763546,7.738357,-0.000009,-0.000341,0.002175
53.994864,254.912933,656.870288,0.374143,-2.334379,-0.000037,-0.157089,0.002203,-0.000007,-0.000012,-7.755239,7.740238,-0.000012,-0.000352,0.002175
55.994674,253.533222,655.422658,0.374237,-2.329974,-0.000061,-0.157117,0.002202,-0.000017,-0.000015,-7.746174,7.745185,-0.000015,-0.000362,0.002172
57.994484,252.159899,653.968968,0.374398,-2.325575,-0.000102,-0.157148,0.002198,-0.000024,-0.000016,-7.741503,7.754463,-0.000016,-0.000368,0.002167
59.994294,250.792978,652.509256,0.374650,-2.321186,-0.000150,-0.157176,0.002191,-0.000023,-0.000012,-7.750448,7.764807,-0.000012,-0.000366,0.002161
61.994103,249.432465,651.043569,0.374990,-2.316812,-0.000187,-0.157194,0.002183,-0.000013,-0.000006,-7.768488,7.772160,-0.000005,-0.000355,0.002154
63.993913,248.078362,649.571959,0.375378,-2.312458,-0.000196,-0.157197,0.002172,0.000004,0.000002,-7.789056,7.775587,0.000003,-0.000336,0.002146
65.993723,246.730663,648.094481,0.375748,-2.308127,-0.000167,-0.157184,0.002159,0.000025,0.000011,-7.810436,7.779220,0.000012,-0.000314,0.002137
67.993533,245.389355,646.611199,0.376022,-2.303823,-0.000100,-0.157152,0.002145,0.000043,0.000020,-7.829541,7.784776,0.000020,-0.000293,0.002125
69.993342,244.054422,645.122177,0.376127,-2.299550,-0.000001,-0.157105,0.002129,0.000056,0.000027,-7.842206,7.791132,0.000027,-0.000278,0.002111
71.993152,242.725838,643.627487,0.376016,-2.295311,0.000114,-0.157050,0.002111,0.000060,0.000028,-7.840570,7.794046,0.000027,-0.000271,0.002094
73.992962,241.403576,642.127202,0.375671,-2.291108,0.000228,-0.157001,0.002092,0.000054,0.000022,-7.823672,7.792241,0.000021,-0.000273,0.002075
75.992772,240.087603,640.621397,0.375116,-2.286942,0.000321,-0.156970,0.002073,0.000038,0.000010,-7.794901,7.787274,0.000009,-0.000286,0.002054
