s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.462598,50.178108,-3.333916,3.137998,-0.001246,0.010553,0.000104,-0.000159,-0.000086,-1.498741,9.265850,-0.000086,-0.000158,0.000106
1.999811,-106.462395,50.185087,-3.331114,3.138208,-0.001552,0.010323,0.000106,-0.000147,-0.000143,-1.511913,9.251851,-0.000143,-0.000146,0.000108
3.999622,-108.462192,50.191641,-3.327726,3.138423,-0.001830,0.009985,0.000108,-0.000130,-0.000195,-1.526114,9.237379,-0.000194,-0.000129,0.000109
5.999433,-110.461990,50.197763,-3.323820,3.138641,-0.002069,0.009551,0.000110,-0.000109,-0.000240,-1.540934,9.222190,-0.000240,-0.000108,0.000111
7.999244,-112.461788,50.203446,-3.319478,3.138861,-0.002265,0.009032,0.000111,-0.000087,-0.000279,-1.556678,9.206640,-0.000279,-0.000086,0.000112
9.999055,-114.461587,50.208685,-3.314791,3.139085,-0.002415,0.008443,0.000112,-0.000063,-0.000311,-1.573333,9.191022,-0.000310,-0.000062,0.000113
11.998866,-116.461386,50.213476,-3.309852,3.139309,-0.002517,0.007796,0.000113,-0.000039,-0.000336,-1.591033,9.174762,-0.000335,-0.000038,0.000113
13.998677,-118.461186,50.217817,-3.304755,3.139535,-0.002574,0.007106,0.000113,-0.000017,-0.000354,-1.609477,9.158611,-0.000354,-0.000016,0.000113
15.998488,-120.460987,50.221705,-3.299587,3.139761,-0.002588,0.006386,0.000113,0.000003,-0.000366,-1.628346,9.141748,-0.000366,0.000003,0.000113
17.998299,-122.460788,50.225143,-3.294428,3.139986,-0.002566,0.005649,0.000112,0.000020,-0.000371,-1.647691,9.124961,-0.000371,0.000020,0.000112
19.998110,-124.460590,50.228134,-3.289344,3.140208,-0.002513,0.004909,0.000110,0.000033,-0.000369,-1.667481,9.108664,-0.000368,0.000034,0.000110
21.997921,-126.460394,50.230684,-3.284392,3.140427,-0.002437,0.004183,0.000108,0.000043,-0.000358,-1.687711,9.092766,-0.000358,0.000043,0.000108
