s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.498841,46.311968,-3.293154,3.131194,-0.000951,0.010580,0.000024,-0.000035,-0.000096,-5.365276,5.399151,-0.000096,-0.000034,0.000024
1.999967,-106.498699,46.332715,-3.291184,3.131244,-0.001017,0.010334,0.000027,-0.000031,-0.000151,-5.364702,5.398863,-0.000151,-0.000030,0.000027
3.999935,-108.498559,46.353356,-3.289093,3.131301,-0.001072,0.009977,0.000030,-0.000025,-0.000205,-5.364795,5.398480,-0.000205,-0.000025,0.000031
5.999902,-110.498420,46.373874,-3.286903,3.131367,-0.001116,0.009521,0.000035,-0.000018,-0.000251,-5.365200,5.397666,-0.000251,-0.000018,0.000035
7.999869,-112.498282,46.394251,-3.284640,3.131443,-0.001145,0.008984,0.000041,-0.000011,-0.000286,-5.366228,5.396806,-0.000286,-0.000011,0.000041
9.999836,-114.498146,46.414463,-3.282332,3.131531,-0.001161,0.008389,0.000047,-0.000004,-0.000310,-5.367884,5.396173,-0.000310,-0.000004,0.000047
11.999804,-116.498011,46.434485,-3.280006,3.131633,-0.001164,0.007750,0.000055,0.000001,-0.000329,-5.370331,5.395127,-0.000329,0.000002,0.000055
13.999771,-118.497879,46.454289,-3.277685,3.131750,-0.001156,0.007075,0.000062,0.000006,-0.000346,-5.373290,5.394462,-0.000346,0.000007,0.000062
15.999738,-120.497750,46.473843,-3.275389,3.131883,-0.001140,0.006367,0.000071,0.000010,-0.000361,-5.376473,5.393244,-0.000361,0.000010,0.000070
17.999705,-122.497623,46.493114,-3.273130,3.132033,-0.001118,0.005634,0.000079,0.000011,-0.000372,-5.379966,5.392304,-0.000372,0.000012,0.000079
19.999673,-124.497499,46.512070,-3.270916,3.132199,-0.001096,0.004888,0.000088,0.000011,-0.000374,-5.383773,5.392003,-0.000374,0.000011,0.000087
21.999640,-126.497378,46.530676,-3.268744,3.132383,-0.001077,0.004150,0.000096,0.000008,-0.000364,-5.387937,5.392185,-0.000364,0.000008,0.000096
23.999607,-128.497261,46.548898,-3.266601,3.132583,-0.001067,0.003443,0.000104,0.000002,-0.000343,-5.392173,5.393124,-0.000343,0.000002,0.000104
25.999574,-130.497148,46.566703,-3.264464,3.132799,-0.001074,0.002787,0.000112,-0.000008,-0.000312,-5.396208,5.394914,-0.000312,-0.000008,0.000112
27.999542,-132.497039,46.584059,-3.262292,3.133031,-0.001102,0.002197,0.000119,-0.000021,-0.000277,-5.400271,5.396682,-0.000277,-0.000021,0.000119
29.999509,-134.496934,46.600939,-3.260034,3.133276,-0.001161,0.001679,0.000126,-0.000038,-0.000241,-5.404208,5.398485,-0.000241,-0.000038,0.000126
31.999476,-136.496833,46.617316,-3.257621,3.133534,-0.001258,0.001232,0.000132,-0.000058,-0.000205,-5.407823,5.401340,-0.000205,-0.000058,0.000132
